# Data scraped on: 2025-05-22 19:39:52
Date,H/A/N,Opponent,Opp Rank,DET Line,DET Odds,Result,Diff
03/27,Away,LA Dodgers,1,+1.5,-152,L by 1,+0.5
03/28,Away,LA Dodgers,1,+1.5,-115,L by 3,-1.5
03/29,Away,LA Dodgers,1,+1.5,-120,L by 4,-2.5
03/31,Away,Seattle,13,+1.5,-205,W by 3,+4.5
04/01,Away,Seattle,13,+1.5,-156,W by 3,+4.5
04/02,Away,Seattle,13,-1.5,+150,L by 1,-2.5
04/04,Home,Chi Sox,29,-1.5,-108,W by 3,+1.5
04/05,Home,Chi Sox,29,-1.5,-110,W by 5,+3.5
04/06,Home,Chi Sox,29,-1.5,+122,W by 1,-0.5
04/07,Home,NY Yankees,2,+1.5,-122,W by 4,+5.5
04/08,Home,NY Yankees,2,-1.5,+127,W by 5,+3.5
04/09,Home,NY Yankees,2,+1.5,-137,L by 1,+0.5
04/11,Away,Minnesota,12,+1.5,-210,W by 1,+2.5
04/12,Away,Minnesota,12,+1.5,-156,W by 4,+5.5
04/13,Away,Minnesota,12,+1.5,-210,L by 4,-2.5
04/14,Away,Milwaukee,18,-1.5,+110,W by 8,+6.5
04/15,Away,Milwaukee,18,-1.5,+156,L by 5,-6.5
04/16,Away,Milwaukee,18,+1.5,-167,L by 4,-2.5
04/17,Home,Kansas City,20,-1.5,+145,W by 5,+3.5
04/18,Home,Kansas City,20,+1.5,-141,W by 4,+5.5
04/19,Home,Kansas City,20,-1.5,+162,W by 2,+0.5
04/20,Home,Kansas City,20,-1.5,+102,L by 1,-2.5
04/21,Home,San Diego,10,-1.5,+150,W by 2,+0.5
04/22,Home,San Diego,10,-1.5,+165,L by 2,-3.5
04/23,Home,San Diego,10,-1.5,+129,W by 6,+4.5
04/26,Home,Baltimore,22,-1.5,+155,W by 1,-0.5
04/26,Home,Baltimore,22,+1.5,-156,W by 4,+5.5
04/27,Home,Baltimore,22,-1.5,+106,W by 7,+5.5
04/28,Away,Houston,11,+1.5,-220,L by 3,-1.5
04/29,Away,Houston,11,+1.5,-215,L by 2,-0.5
04/30,Away,Houston,11,+1.5,-201,W by 3,+4.5
05/01,Away,LA Angels,26,-1.5,+112,W by 6,+4.5
05/02,Away,LA Angels,26,-1.5,-113,W by 8,+6.5
05/03,Away,LA Angels,26,-1.5,-122,L by 3,-4.5
05/04,Away,LA Angels,26,-1.5,-101,W by 12,+10.5
05/07,Away,Colorado,30,-1.5,-116,W by 2,+0.5
05/08,Away,Colorado,30,-1.5,-115,W by 8,+6.5
05/08,Away,Colorado,30,-1.5,-135,W by 10,+8.5
05/09,Home,Texas,14,-1.5,-135,W by 1,-0.5
05/10,Home,Texas,14,+1.5,-158,L by 7,-5.5
05/11,Home,Texas,14,-1.5,+193,L by 5,-6.5
05/12,Home,Boston,9,+1.5,-168,W by 12,+13.5
05/13,Home,Boston,9,-1.5,+176,W by 1,-0.5
05/14,Home,Boston,9,-1.5,-110,W by 1,-0.5
05/16,Away,Toronto,21,-1.5,+144,W by 1,-0.5
05/17,Away,Toronto,21,-1.5,+123,L by 1,-2.5
05/18,Away,Toronto,21,+1.5,-187,W by 1,+2.5
05/19,Away,St. Louis,19,+1.5,-147,L by 7,-5.5
05/20,Away,St. Louis,19,-1.5,-103,W by 1,-0.5
05/21,Away,St. Louis,19,+1.5,-201,W by 4,+5.5
