# Data scraped on: 2025-05-22 19:40:01
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,-1.0,+0.5
Second Game of Doubleheader,2-0-0,100.0%,7.0,+7.0
As Home Underdog,5-1-0,83.3%,2.7,+4.2
1 Day Off,3-1-0,75.0%,2.0,+2.0
Division Games,7-3-0,70.0%,2.0,+1.7
After A Loss,11-6-0,64.7%,2.3,+2.4
As Underdog,13-8-0,61.9%,0.3,+1.8
With Rest Advantage,3-2-0,60.0%,1.0,+1.3
As Home Team,13-9-0,59.1%,2.2,+1.5
League Games,20-15-0,57.1%,2.0,+1.8
All Games,28-22-0,56.0%,1.7,+1.5
Regular Season Games,28-22-0,56.0%,1.7,+1.5
With Equal Rest,25-20-0,55.6%,1.8,+1.5
As Away Favorite,7-6-0,53.8%,3.5,+2.0
As Away Team,15-13-0,53.6%,1.3,+1.4
As Away Underdog,8-7-0,53.3%,-0.6,+0.9
Non-League Games,8-7-0,53.3%,1.0,+0.7
Non-Division Games,21-19-0,52.5%,1.6,+1.4
As Favorite,15-14-0,51.7%,2.7,+1.2
No Rest,21-20-0,51.2%,1.5,+1.2
After A Win,16-16-0,50.0%,1.5,+1.0
As Home Favorite,8-8-0,50.0%,2.0,+0.5
2-3 Days Off,1-1-0,50.0%,1.5,0.0
