# Data scraped on: 2025-05-22 19:40:25
Date,Opponent,Opp Rank,H/A/N,Score
03/27,NY Mets,3,Home,W 3-1
03/28,NY Mets,3,Home,L 1-3
03/29,NY Mets,3,Home,W 2-1
03/31,SF Giants,15,Home,L 2-7
04/01,SF Giants,15,Home,L 1-3
04/02,SF Giants,15,Home,L 3-6
04/03,at Minnesota,12,Away,W 5-2
04/05,at Minnesota,12,Away,L 1-6
04/06,at Minnesota,12,Away,W 9-7
04/07,at Seattle,13,Away,L 3-4
04/08,at Seattle,13,Away,W 2-1
04/09,at Seattle,13,Away,L 6-7
04/11,LA Angels,26,Home,W 14-3
04/12,LA Angels,26,Home,L 1-4
04/13,LA Angels,26,Home,W 7-3
04/14,at St. Louis,19,Away,L 3-8
04/15,at St. Louis,19,Away,W 2-0
04/16,at St. Louis,19,Away,L 1-4
04/18,San Diego,10,Home,W 6-4
04/19,San Diego,10,Home,W 3-2
04/20,San Diego,10,Home,L 2-3
04/21,Toronto,21,Home,W 7-0
04/22,Toronto,21,Home,W 5-1
04/23,Toronto,21,Home,W 3-1
04/25,at Kansas City,20,Away,L 0-2
04/26,at Kansas City,20,Away,L 0-2
04/27,at Kansas City,20,Away,W 7-3
04/28,Detroit,7,Home,W 8-5
04/29,Detroit,7,Home,W 6-4
04/30,Detroit,7,Home,L 4-7
05/02,at Chi Sox,29,Away,L 3-7
05/03,at Chi Sox,29,Away,W 8-3
05/04,at Chi Sox,29,Away,L 4-5
05/05,at Milwaukee,18,Away,L 1-5
05/06,at Milwaukee,18,Away,L 3-4
05/07,at Milwaukee,18,Away,W 9-1
05/09,Cincinnati,16,Home,W 3-0
05/10,Cincinnati,16,Home,L 9-13
05/11,Cincinnati,16,Home,W 6-0
05/12,Kansas City,20,Home,L 5-7
05/13,Kansas City,20,Home,W 2-1
05/14,Kansas City,20,Home,W 4-3
05/15,at Texas,14,Away,L 0-1
05/16,at Texas,14,Away,W 6-3
05/17,at Texas,14,Away,L 1-5
05/18,at Texas,14,Away,W 4-3
05/19,at Tampa Bay,17,Away,W 4-3
05/20,at Tampa Bay,17,Away,L 2-3
05/21,at Tampa Bay,17,Away,L 4-8
