# Data scraped on: 2025-05-22 19:40:21
Date,H/A/N,Opponent,Opp Rank,HOU Line,HOU Odds,Result,Diff
03/27,Home,NY Mets,3,-1.5,+185,W by 2,+0.5
03/28,Home,NY Mets,3,-1.5,+180,L by 2,-3.5
03/29,Home,NY Mets,3,-1.5,+171,W by 1,-0.5
03/31,Home,SF Giants,15,-1.5,+172,L by 5,-6.5
04/01,Home,SF Giants,15,+1.5,-147,L by 2,-0.5
04/02,Home,SF Giants,15,-1.5,+131,L by 3,-4.5
04/03,Away,Minnesota,12,+1.5,-198,W by 3,+4.5
04/05,Away,Minnesota,12,+1.5,-196,L by 5,-3.5
04/06,Away,Minnesota,12,+1.5,-203,W by 2,+3.5
04/07,Away,Seattle,13,+1.5,-166,L by 1,+0.5
04/08,Away,Seattle,13,+1.5,-210,W by 1,+2.5
04/09,Away,Seattle,13,-1.5,+132,L by 1,-2.5
04/11,Home,LA Angels,26,-1.5,+152,W by 11,+9.5
04/12,Home,LA Angels,26,-1.5,+124,L by 3,-4.5
04/13,Home,LA Angels,26,-1.5,+124,W by 4,+2.5
04/14,Away,St. Louis,19,-1.5,+159,L by 5,-6.5
04/15,Away,St. Louis,19,-1.5,+131,W by 2,+0.5
04/16,Away,St. Louis,19,-1.5,+153,L by 3,-4.5
04/18,Home,San Diego,10,-1.5,+130,W by 2,+0.5
04/19,Home,San Diego,10,+1.5,-155,W by 1,+2.5
04/20,Home,San Diego,10,-1.5,+176,L by 1,-2.5
04/21,Home,Toronto,21,-1.5,+154,W by 7,+5.5
04/22,Home,Toronto,21,+1.5,-166,W by 4,+5.5
04/23,Home,Toronto,21,-1.5,+187,W by 2,+0.5
04/25,Away,Kansas City,20,-1.5,+152,L by 2,-3.5
04/26,Away,Kansas City,20,-1.5,+124,L by 2,-3.5
04/27,Away,Kansas City,20,-1.5,+124,W by 4,+2.5
04/28,Home,Detroit,7,-1.5,+186,W by 3,+1.5
04/29,Home,Detroit,7,-1.5,+183,W by 2,+0.5
04/30,Home,Detroit,7,-1.5,+179,L by 3,-4.5
05/02,Away,Chi Sox,29,-1.5,-135,L by 4,-5.5
05/03,Away,Chi Sox,29,-1.5,-135,W by 5,+3.5
05/04,Away,Chi Sox,29,-1.5,-106,L by 1,-2.5
05/05,Away,Milwaukee,18,-1.5,+150,L by 4,-5.5
05/06,Away,Milwaukee,18,+1.5,-205,L by 1,+0.5
05/07,Away,Milwaukee,18,-1.5,+133,W by 8,+6.5
05/09,Home,Cincinnati,16,-1.5,+114,W by 3,+1.5
05/10,Home,Cincinnati,16,-1.5,+165,L by 4,-5.5
05/11,Home,Cincinnati,16,-1.5,+145,W by 6,+4.5
05/12,Home,Kansas City,20,-1.5,+164,L by 2,-3.5
05/13,Home,Kansas City,20,-1.5,+159,W by 1,-0.5
05/14,Home,Kansas City,20,-1.5,+164,W by 1,-0.5
05/15,Away,Texas,14,+1.5,-195,L by 1,+0.5
05/16,Away,Texas,14,+1.5,-123,W by 3,+4.5
05/17,Away,Texas,14,+1.5,-202,L by 4,-2.5
05/18,Away,Texas,14,-1.5,+149,W by 1,-0.5
05/19,Away,Tampa Bay,17,+1.5,-163,W by 1,+2.5
05/20,Away,Tampa Bay,17,+1.5,-185,L by 1,+0.5
05/21,Away,Tampa Bay,17,-1.5,+108,L by 4,-5.5
