# Data scraped on: 2025-05-22 19:40:10
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+0.5
After A Loss,16-7-0,69.6%,1.8,+1.1
As Home Underdog,2-1-0,66.7%,1.0,+2.5
As Home Team,15-9-0,62.5%,1.0,-0.1
As Home Favorite,13-8-0,61.9%,1.0,-0.5
League Games,17-14-0,54.8%,0.7,+0.2
With Equal Rest,23-21-0,52.3%,0.3,-0.3
As Favorite,18-17-0,51.4%,0.5,-1.0
Non-Division Games,20-19-0,51.3%,0.2,-0.7
No Rest,21-20-0,51.2%,0.3,-0.2
All Games,25-24-0,51.0%,0.3,-0.3
Regular Season Games,25-24-0,51.0%,0.3,-0.3
As Underdog,7-7-0,50.0%,0.0,+1.5
Division Games,5-5-0,50.0%,1.0,+1.0
As Away Underdog,5-6-0,45.5%,-0.3,+1.2
Non-League Games,8-10-0,44.4%,-0.3,-1.3
1 Day Off,3-4-0,42.9%,0.0,-1.1
As Away Team,10-15-0,40.0%,-0.4,-0.5
With Rest Advantage,2-3-0,40.0%,0.6,-0.9
As Away Favorite,5-9-0,35.7%,-0.4,-1.9
After A Win,8-17-0,32.0%,-1.1,-1.6
