# Data scraped on: 2025-05-22 19:40:55
Date,Opponent,Opp Rank,H/A/N,Score
03/27,Cleveland,23,Home,L 4-7
03/29,Cleveland,23,Home,W 4-3
03/30,Cleveland,23,Home,L 2-6
03/31,at Milwaukee,18,Away,W 11-1
04/01,at Milwaukee,18,Away,L 0-5
04/02,at Milwaukee,18,Away,L 2-3
04/04,Baltimore,22,Home,W 8-2
04/05,Baltimore,22,Home,L 1-8
04/06,Baltimore,22,Home,W 4-1
04/07,Minnesota,12,Home,W 4-2
04/08,Minnesota,12,Home,W 2-1
04/09,Minnesota,12,Home,L 0-4
04/10,Minnesota,12,Home,W 3-2
04/11,at Cleveland,23,Away,L 0-7
04/12,at Cleveland,23,Away,L 3-6
04/13,at Cleveland,23,Away,W 4-2
04/14,at NY Yankees,2,Away,L 1-4
04/15,at NY Yankees,2,Away,L 2-4
04/16,at NY Yankees,2,Away,L 3-4
04/17,at Detroit,7,Away,L 1-6
04/18,at Detroit,7,Away,L 3-7
04/19,at Detroit,7,Away,L 1-3
04/20,at Detroit,7,Away,W 4-3
04/22,Colorado,30,Home,W 4-3
04/24,Colorado,30,Home,W 7-4
04/24,Colorado,30,Home,W 6-2
04/25,Houston,11,Home,W 2-0
04/26,Houston,11,Home,W 2-0
04/27,Houston,11,Home,L 3-7
04/29,at Tampa Bay,17,Away,W 3-1
04/30,at Tampa Bay,17,Away,W 3-0
05/01,at Tampa Bay,17,Away,W 8-2
05/02,at Baltimore,22,Away,L 0-3
05/03,at Baltimore,22,Away,W 4-0
05/04,at Baltimore,22,Away,W 11-6
05/05,Chi Sox,29,Home,W 3-0
05/06,Chi Sox,29,Home,W 4-3
05/07,Chi Sox,29,Home,W 2-1
05/08,Chi Sox,29,Home,W 10-0
05/09,Boston,9,Home,W 2-1
05/10,Boston,9,Home,L 1-10
05/11,Boston,9,Home,L 1-3
05/12,at Houston,11,Away,W 7-5
05/13,at Houston,11,Away,L 1-2
05/14,at Houston,11,Away,L 3-4
05/16,St. Louis,19,Home,L 3-10
05/17,St. Louis,19,Home,L 0-1
05/18,St. Louis,19,Home,W 2-1
05/19,at SF Giants,15,Away,W 3-1
05/20,at SF Giants,15,Away,L 2-3
05/21,at SF Giants,15,Away,W 8-4
