# Data scraped on: 2025-05-22 19:40:35
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
With Rest Advantage,1-0-0,100.0%,0.0%,+2.5
As Away Favorite,1-1-0,50.0%,50.0%,+0.8
1 Day Off,3-3-0,50.0%,50.0%,+0.4
As Favorite,9-14-0,39.1%,60.9%,-1.1
As Home Favorite,8-13-0,38.1%,61.9%,-1.3
Division Games,6-11-1,35.3%,64.7%,-1.3
As Home Team,9-17-0,34.6%,65.4%,-1.7
League Games,13-25-1,34.2%,65.8%,-1.5
With Equal Rest,16-31-1,34.0%,66.0%,-1.3
All Games,17-33-1,34.0%,66.0%,-1.4
Regular Season Games,17-33-1,34.0%,66.0%,-1.4
After A Win,9-18-0,33.3%,66.7%,-1.8
As Away Team,8-16-1,33.3%,66.7%,-1.1
Non-Division Games,11-22-0,33.3%,66.7%,-1.5
Non-League Games,4-8-0,33.3%,66.7%,-1.0
After A Loss,7-15-1,31.8%,68.2%,-1.2
As Away Underdog,7-15-1,31.8%,68.2%,-1.2
No Rest,13-29-1,31.0%,69.0%,-1.8
As Underdog,8-19-1,29.6%,70.4%,-1.7
As Home Underdog,1-4-0,20.0%,80.0%,-3.7
Second Game of Doubleheader,0-1-0,0.0%,100.0%,-1.0
With Rest Disadvantage,0-2-0,0.0%,100.0%,-6.0
