# Data scraped on: 2025-05-22 19:40:50
Date,H/A/N,Opponent,Opp Rank,KC Line,KC Odds,Result,Diff
03/27,Home,Cleveland,23,-1.5,+126,L by 3,-4.5
03/29,Home,Cleveland,23,-1.5,+183,W by 1,-0.5
03/30,Home,Cleveland,23,-1.5,+185,L by 4,-5.5
03/31,Away,Milwaukee,18,+1.5,-201,W by 10,+11.5
04/01,Away,Milwaukee,18,+1.5,-197,L by 5,-3.5
04/02,Away,Milwaukee,18,+1.5,-200,L by 1,+0.5
04/04,Home,Baltimore,22,-1.5,+200,W by 6,+4.5
04/05,Home,Baltimore,22,-1.5,+185,L by 7,-8.5
04/06,Home,Baltimore,22,+1.5,-185,W by 3,+4.5
04/07,Home,Minnesota,12,-1.5,+182,W by 2,+0.5
04/08,Home,Minnesota,12,-1.5,+185,W by 1,-0.5
04/09,Home,Minnesota,12,-1.5,+196,L by 4,-5.5
04/10,Home,Minnesota,12,-1.5,+175,W by 1,-0.5
04/11,Away,Cleveland,23,+1.5,-205,L by 7,-5.5
04/12,Away,Cleveland,23,+1.5,-182,L by 3,-1.5
04/13,Away,Cleveland,23,-1.5,+134,W by 2,+0.5
04/14,Away,NY Yankees,2,+1.5,-154,L by 3,-1.5
04/15,Away,NY Yankees,2,+1.5,+111,L by 2,-0.5
04/16,Away,NY Yankees,2,+1.5,-147,L by 1,+0.5
04/17,Away,Detroit,7,+1.5,-165,L by 5,-3.5
04/18,Away,Detroit,7,-1.5,+127,L by 4,-5.5
04/19,Away,Detroit,7,+1.5,-181,L by 2,-0.5
04/20,Away,Detroit,7,+1.5,-122,W by 1,+2.5
04/22,Home,Colorado,30,-1.5,-118,W by 1,-0.5
04/24,Home,Colorado,30,-1.5,-142,W by 3,+1.5
04/24,Home,Colorado,30,-1.5,+102,W by 4,+2.5
04/25,Home,Houston,11,+1.5,-169,W by 2,+3.5
04/26,Home,Houston,11,+1.5,-148,W by 2,+3.5
04/27,Home,Houston,11,+1.5,-148,L by 4,-2.5
04/29,Away,Tampa Bay,17,+1.5,-155,W by 2,+3.5
04/30,Away,Tampa Bay,17,+1.5,-153,W by 3,+4.5
05/01,Away,Tampa Bay,17,+1.5,-150,W by 6,+7.5
05/02,Away,Baltimore,22,+1.5,-164,L by 3,-1.5
05/03,Away,Baltimore,22,+1.5,-201,W by 4,+5.5
05/04,Away,Baltimore,22,+1.5,-165,W by 5,+6.5
05/05,Home,Chi Sox,29,-1.5,-112,W by 3,+1.5
05/06,Home,Chi Sox,29,-1.5,-118,W by 1,-0.5
05/07,Home,Chi Sox,29,-1.5,-102,W by 1,-0.5
05/08,Home,Chi Sox,29,-1.5,-123,W by 10,+8.5
05/09,Home,Boston,9,+1.5,-175,W by 1,+2.5
05/10,Home,Boston,9,-1.5,+201,L by 9,-10.5
05/11,Home,Boston,9,-1.5,+159,L by 2,-3.5
05/12,Away,Houston,11,+1.5,-198,W by 2,+3.5
05/13,Away,Houston,11,+1.5,-178,L by 1,+0.5
05/14,Away,Houston,11,+1.5,-198,L by 1,+0.5
05/16,Home,St. Louis,19,-1.5,+141,L by 7,-8.5
05/17,Home,St. Louis,19,-1.5,+179,L by 1,-2.5
05/18,Home,St. Louis,19,-1.5,+200,W by 1,-0.5
05/19,Away,SF Giants,15,+1.5,-191,W by 2,+3.5
05/20,Away,SF Giants,15,+1.5,-180,L by 1,+0.5
05/21,Away,SF Giants,15,+1.5,-125,W by 4,+5.5
