# Data scraped on: 2025-05-22 19:40:59
Trend,Run Line Record,Cover %,MOV,Run Line +/-
Second Game of Doubleheader,1-0-0,100.0%,4.0,+2.5
With Rest Advantage,1-0-0,100.0%,6.0,+4.5
As Home Underdog,4-1-0,80.0%,0.8,+2.3
As Underdog,19-9-0,67.9%,0.3,+1.8
As Away Underdog,15-8-0,65.2%,0.2,+1.7
As Away Team,16-9-0,64.0%,0.1,+1.3
Non-Division Games,21-12-0,63.6%,0.4,+1.0
Non-League Games,7-5-0,58.3%,0.8,+0.8
After A Loss,12-11-0,52.2%,0.3,+0.7
After A Win,14-13-0,51.9%,0.0,0.0
No Rest,22-21-0,51.2%,-0.1,+0.3
All Games,26-25-0,51.0%,0.1,+0.2
Regular Season Games,26-25-0,51.0%,0.1,+0.2
As Away Favorite,1-1-0,50.0%,-1.0,-2.5
1 Day Off,3-3-0,50.0%,1.0,0.0
With Rest Disadvantage,1-1-0,50.0%,-0.5,+1.0
With Equal Rest,24-24-0,50.0%,0.0,+0.1
League Games,19-20-0,48.7%,-0.2,0.0
As Home Team,10-16-0,38.5%,0.1,-0.8
As Favorite,7-16-0,30.4%,-0.2,-1.7
As Home Favorite,6-15-0,28.6%,-0.1,-1.6
Division Games,5-13-0,27.8%,-0.5,-1.2
4+ Days Off,0-1-0,0.0%,-3.0,-4.5
