# Data scraped on: 2025-05-22 19:41:24
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Chi Sox,29,Away,L 1-8
03/29,at Chi Sox,29,Away,W 1-0
03/30,at Chi Sox,29,Away,W 3-2
03/31,at St. Louis,19,Away,W 5-4
04/01,at St. Louis,19,Away,W 9-7
04/02,at St. Louis,19,Away,L 5-12
04/04,Cleveland,23,Home,L 6-8
04/05,Cleveland,23,Home,W 10-4
04/06,Cleveland,23,Home,W 6-2
04/08,at Tampa Bay,17,Away,W 4-3
04/09,at Tampa Bay,17,Away,L 4-5
04/10,at Tampa Bay,17,Away,W 11-1
04/11,at Houston,11,Away,L 3-14
04/12,at Houston,11,Away,W 4-1
04/13,at Houston,11,Away,L 3-7
04/15,at Texas,14,Away,L 0-4
04/16,at Texas,14,Away,L 1-3
04/17,at Texas,14,Away,L 3-5
04/18,SF Giants,15,Home,W 2-0
04/19,SF Giants,15,Home,L 2-3
04/20,SF Giants,15,Home,W 5-4
04/22,Pittsburgh,24,Home,L 3-9
04/23,Pittsburgh,24,Home,L 0-3
04/24,Pittsburgh,24,Home,W 4-3
04/25,at Minnesota,12,Away,L 4-11
04/26,at Minnesota,12,Away,L 1-5
04/27,at Minnesota,12,Away,L 0-5
04/29,at Seattle,13,Away,L 3-5
04/30,at Seattle,13,Away,L 3-9
05/01,Detroit,7,Home,L 4-10
05/02,Detroit,7,Home,L 1-9
05/03,Detroit,7,Home,W 5-2
05/04,Detroit,7,Home,L 1-13
05/06,Toronto,21,Home,W 8-3
05/07,Toronto,21,Home,W 5-4
05/08,Toronto,21,Home,L 5-8
05/09,Baltimore,22,Home,L 1-4
05/10,Baltimore,22,Home,W 5-2
05/11,Baltimore,22,Home,L 3-7
05/12,at San Diego,10,Away,W 9-5
05/13,at San Diego,10,Away,L 4-6
05/14,at San Diego,10,Away,L 1-5
05/16,at LA Dodgers,1,Away,W 6-2
05/17,at LA Dodgers,1,Away,W 11-9
05/18,at LA Dodgers,1,Away,W 6-4
05/19,at Sacramento,27,Away,W 4-3
05/20,at Sacramento,27,Away,W 7-5
05/21,at Sacramento,27,Away,W 10-5
05/22,at Sacramento,27,Away,W 10-5
