# Data scraped on: 2025-05-22 19:41:14
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Away,Chi Sox,29,7.5,1-8,Over,+1.5
03/29,Away,Chi Sox,29,8.0,1-0,Under,-7.0
03/30,Away,Chi Sox,29,8.5,3-2,Under,-3.5
03/31,Away,St. Louis,19,8.0,5-4,Over,+1.0
04/01,Away,St. Louis,19,8.0,9-7,Over,+8.0
04/02,Away,St. Louis,19,8.5,5-12,Over,+8.5
04/04,Home,Cleveland,23,8.0,6-8,Over,+6.0
04/05,Home,Cleveland,23,8.5,10-4,Over,+5.5
04/06,Home,Cleveland,23,9.5,6-2,Under,-1.5
04/08,Away,Tampa Bay,17,8.5,4-3,Under,-1.5
04/09,Away,Tampa Bay,17,8.0,4-5,Over,+1.0
04/10,Away,Tampa Bay,17,8.5,11-1,Over,+3.5
04/11,Away,Houston,11,8.5,3-14,Over,+8.5
04/12,Away,Houston,11,9.0,4-1,Under,-4.0
04/13,Away,Houston,11,8.5,3-7,Over,+1.5
04/15,Away,Texas,14,9.0,0-4,Under,-5.0
04/16,Away,Texas,14,9.5,1-3,Under,-5.5
04/17,Away,Texas,14,9.5,3-5,Under,-1.5
04/18,Home,SF Giants,15,8.0,2-0,Under,-6.0
04/19,Home,SF Giants,15,9.0,2-3,Under,-4.0
04/20,Home,SF Giants,15,9.0,5-4,Push,0.0
04/22,Home,Pittsburgh,24,8.5,3-9,Over,+3.5
04/23,Home,Pittsburgh,24,9.0,0-3,Under,-6.0
04/24,Home,Pittsburgh,24,9.0,4-3,Under,-2.0
04/25,Away,Minnesota,12,8.0,4-11,Over,+7.0
04/26,Away,Minnesota,12,8.0,1-5,Under,-2.0
04/27,Away,Minnesota,12,7.5,0-5,Under,-2.5
04/29,Away,Seattle,13,7.5,3-5,Over,+0.5
04/30,Away,Seattle,13,8.0,3-9,Over,+4.0
05/01,Home,Detroit,7,8.0,4-10,Over,+6.0
05/02,Home,Detroit,7,8.0,1-9,Over,+2.0
05/03,Home,Detroit,7,8.5,5-2,Under,-1.5
05/04,Home,Detroit,7,8.5,1-13,Over,+5.5
05/06,Home,Toronto,21,9.0,8-3,Over,+2.0
05/07,Home,Toronto,21,8.5,5-4,Over,+0.5
05/08,Home,Toronto,21,8.0,5-8,Over,+5.0
05/09,Home,Baltimore,22,9.5,1-4,Under,-4.5
05/10,Home,Baltimore,22,10.0,5-2,Under,-3.0
05/11,Home,Baltimore,22,9.0,3-7,Over,+1.0
05/12,Away,San Diego,10,7.0,9-5,Over,+7.0
05/13,Away,San Diego,10,7.5,4-6,Over,+2.5
05/14,Away,San Diego,10,8.5,1-5,Under,-2.5
05/16,Away,LA Dodgers,1,9.5,6-2,Under,-1.5
05/17,Away,LA Dodgers,1,9.0,11-9,Over,+11.0
05/18,Away,LA Dodgers,1,9.0,6-4,Over,+1.0
05/19,Away,Sacramento,27,10.0,4-3,Under,-3.0
05/20,Away,Sacramento,27,10.5,7-5,Over,+1.5
05/21,Away,Sacramento,27,10.0,10-5,Over,+5.0
05/22,Away,Sacramento,27,10.0,10-5,Over,+5.0
