# Data scraped on: 2025-05-22 19:41:05
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+1.5
With Rest Disadvantage,1-0-0,100.0%,0.0%,+8.5
After A Win,18-5-0,78.3%,21.7%,+2.8
As Away Underdog,17-9-0,65.4%,34.6%,+2.0
As Underdog,26-15-1,63.4%,36.6%,+1.6
As Away Team,18-12-0,60.0%,40.0%,+1.3
As Home Underdog,9-6-1,60.0%,40.0%,+0.8
No Rest,23-16-1,59.0%,41.0%,+1.2
League Games,20-14-0,58.8%,41.2%,+0.8
With Equal Rest,27-19-1,58.7%,41.3%,+0.9
All Games,28-20-1,58.3%,41.7%,+1.0
Division Games,7-5-0,58.3%,41.7%,+0.6
Non-Division Games,21-15-1,58.3%,41.7%,+1.1
Regular Season Games,28-20-1,58.3%,41.7%,+1.0
Non-League Games,8-6-1,57.1%,42.9%,+1.4
As Home Team,10-8-1,55.6%,44.4%,+0.4
1 Day Off,4-4-0,50.0%,50.0%,-0.4
After A Loss,9-15-1,37.5%,62.5%,-0.7
As Home Favorite,1-2-0,33.3%,66.7%,-1.5
As Favorite,2-5-0,28.6%,71.4%,-2.7
As Away Favorite,1-3-0,25.0%,75.0%,-3.6
With Rest Advantage,0-1-0,0.0%,100.0%,-1.5
