# Data scraped on: 2025-05-22 19:41:28
Trend,Run Line Record,Cover %,MOV,Run Line +/-
With Rest Advantage,1-0-0,100.0%,4.0,+5.5
Non-League Games,9-6-0,60.0%,-0.3,+0.6
After A Win,13-10-0,56.5%,-1.3,-0.1
As Home Underdog,9-7-0,56.3%,-0.9,+0.6
As Underdog,23-19-0,54.8%,-0.7,+0.8
As Away Underdog,14-12-0,53.8%,-0.7,+0.8
No Rest,20-20-0,50.0%,-0.9,+0.3
Non-Division Games,18-19-0,48.6%,-0.8,+0.2
As Home Team,9-10-0,47.4%,-1.2,-0.1
All Games,23-26-0,46.9%,-0.9,+0.1
Regular Season Games,23-26-0,46.9%,-0.9,+0.1
With Equal Rest,22-25-0,46.8%,-0.8,+0.2
As Away Team,14-16-0,46.7%,-0.8,+0.3
Division Games,5-7-0,41.7%,-1.3,0.0
League Games,14-20-0,41.2%,-1.2,-0.1
After A Loss,10-15-0,40.0%,-0.3,+0.7
1 Day Off,3-5-0,37.5%,-0.4,+0.4
As Favorite,0-7-0,0.0%,-2.1,-3.6
As Home Favorite,0-3-0,0.0%,-2.7,-4.2
As Away Favorite,0-4-0,0.0%,-1.8,-3.3
4+ Days Off,0-1-0,0.0%,-7.0,-8.5
With Rest Disadvantage,0-1-0,0.0%,-11.0,-9.5
