# Data scraped on: 2025-05-22 19:41:09
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
With Rest Advantage,1-0-0,100.0%,4.0,+5.5
Non-League Games,9-6-0,60.0%,-0.3,+0.6
After A Win,12-11-0,52.2%,-1.3,-0.1
Non-Division Games,19-18-0,51.4%,-0.8,+0.2
As Away Team,15-15-0,50.0%,-0.8,+0.3
As Underdog,21-21-0,50.0%,-0.7,+0.8
As Home Underdog,8-8-0,50.0%,-0.9,+0.6
As Away Favorite,2-2-0,50.0%,-1.8,-3.3
As Away Underdog,13-13-0,50.0%,-0.7,+0.8
No Rest,20-20-0,50.0%,-0.9,+0.3
1 Day Off,4-4-0,50.0%,-0.4,+0.4
All Games,24-25-0,49.0%,-0.9,+0.1
Regular Season Games,24-25-0,49.0%,-0.9,+0.1
With Equal Rest,23-24-0,48.9%,-0.8,+0.2
After A Loss,12-13-0,48.0%,-0.3,+0.7
As Home Team,9-10-0,47.4%,-1.2,-0.1
League Games,15-19-0,44.1%,-1.2,-0.1
As Favorite,3-4-0,42.9%,-2.1,-3.6
Division Games,5-7-0,41.7%,-1.3,0.0
As Home Favorite,1-2-0,33.3%,-2.7,-4.2
4+ Days Off,0-1-0,0.0%,-7.0,-8.5
With Rest Disadvantage,0-1-0,0.0%,-11.0,-9.5
