# Data scraped on: 2025-05-22 19:41:44
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/18,Neutral,Chi Cubs,5,8.0,4-1,Under,-3.0
03/19,Neutral,Chi Cubs,5,8.0,6-3,Over,+1.0
03/27,Home,Detroit,7,6.5,5-4,Over,+2.5
03/28,Home,Detroit,7,7.0,8-5,Over,+6.0
03/29,Home,Detroit,7,7.5,7-3,Over,+2.5
03/31,Home,Atlanta,4,8.0,6-1,Under,-1.0
04/01,Home,Atlanta,4,7.5,3-1,Under,-3.5
04/02,Home,Atlanta,4,8.0,6-5,Over,+3.0
04/04,Away,Philadelphia,6,8.0,2-3,Under,-3.0
04/05,Away,Philadelphia,6,8.5,3-1,Under,-4.5
04/06,Away,Philadelphia,6,7.0,7-8,Over,+8.0
04/07,Away,Washington,25,7.5,4-6,Over,+2.5
04/08,Away,Washington,25,8.5,2-8,Over,+1.5
04/09,Away,Washington,25,9.0,6-5,Over,+2.0
04/11,Home,Chi Cubs,5,8.5,3-0,Under,-5.5
04/12,Home,Chi Cubs,5,9.0,0-16,Over,+7.0
04/13,Home,Chi Cubs,5,9.0,2-4,Under,-3.0
04/14,Home,Colorado,30,8.5,5-3,Under,-0.5
04/15,Home,Colorado,30,8.5,6-2,Under,-0.5
04/16,Home,Colorado,30,9.0,8-7,Over,+6.0
04/18,Away,Texas,14,7.5,3-0,Under,-4.5
04/19,Away,Texas,14,8.5,3-4,Under,-1.5
04/20,Away,Texas,14,8.5,1-0,Under,-7.5
04/22,Away,Chi Cubs,5,9.0,10-11,Over,+12.0
04/23,Away,Chi Cubs,5,9.0,6-7,Over,+4.0
04/25,Home,Pittsburgh,24,7.0,0-3,Under,-4.0
04/26,Home,Pittsburgh,24,9.0,8-4,Over,+3.0
04/27,Home,Pittsburgh,24,8.5,9-2,Over,+2.5
04/28,Home,Miami,28,9.0,7-6,Over,+4.0
04/29,Home,Miami,28,8.5,15-2,Over,+8.5
04/30,Home,Miami,28,10.0,12-7,Over,+9.0
05/02,Away,Atlanta,4,9.0,2-1,Under,-6.0
05/03,Away,Atlanta,4,8.5,10-3,Over,+4.5
05/04,Away,Atlanta,4,9.5,3-4,Under,-2.5
05/05,Away,Miami,28,9.5,7-4,Over,+1.5
05/06,Away,Miami,28,10.0,4-5,Under,-1.0
05/07,Away,Miami,28,10.0,10-1,Over,+1.0
05/08,Away,Arizona,8,9.0,3-5,Under,-1.0
05/09,Away,Arizona,8,10.5,14-11,Over,+14.5
05/10,Away,Arizona,8,9.5,0-3,Under,-6.5
05/11,Away,Arizona,8,9.5,8-1,Under,-0.5
05/13,Home,Sacramento,27,9.0,1-11,Over,+3.0
05/14,Home,Sacramento,27,8.5,9-3,Over,+3.5
05/15,Home,Sacramento,27,9.5,19-2,Over,+11.5
05/16,Home,LA Angels,26,9.5,2-6,Under,-1.5
05/17,Home,LA Angels,26,9.0,9-11,Over,+11.0
05/18,Home,LA Angels,26,9.0,4-6,Over,+1.0
05/19,Home,Arizona,8,10.0,5-9,Over,+4.0
05/20,Home,Arizona,8,9.0,4-3,Under,-2.0
05/21,Home,Arizona,8,9.5,3-1,Under,-5.5
