# Data scraped on: 2025-05-22 19:41:34
Trend,Over Record,Over %,Under %,Total +/-
Non-League Games,8-4-0,66.7%,33.3%,+2.2
After A Loss,12-7-0,63.2%,36.8%,+1.4
As Home Team,17-10-0,63.0%,37.0%,+2.3
As Home Favorite,17-10-0,63.0%,37.0%,+2.3
No Rest,25-15-0,62.5%,37.5%,+2.0
Non-Division Games,25-15-0,62.5%,37.5%,+1.6
With Equal Rest,27-17-0,61.4%,38.6%,+1.9
As Favorite,25-19-0,56.8%,43.2%,+1.4
All Games,28-22-0,56.0%,44.0%,+1.4
Regular Season Games,28-22-0,56.0%,44.0%,+1.4
After A Win,16-14-0,53.3%,46.7%,+1.6
League Games,20-18-0,52.6%,47.4%,+1.2
As Underdog,3-3-0,50.0%,50.0%,+1.8
As Away Underdog,3-3-0,50.0%,50.0%,+1.8
4+ Days Off,1-1-0,50.0%,50.0%,-0.3
At Neutral Site,1-1-0,50.0%,50.0%,-1.0
With Rest Disadvantage,1-1-0,50.0%,50.0%,+0.5
As Away Team,10-11-0,47.6%,52.4%,+0.6
As Away Favorite,7-8-0,46.7%,53.3%,+0.2
Division Games,3-7-0,30.0%,70.0%,+0.8
1 Day Off,2-6-0,25.0%,75.0%,-1.1
With Rest Advantage,0-4-0,0.0%,100.0%,-3.1
