# Data scraped on: 2025-05-22 19:41:50
Date,H/A/N,Opponent,Opp Rank,LAD Line,LAD Odds,Result,Diff
03/18,Neutral,Chi Cubs,5,-1.5,+111,W by 3,+1.5
03/19,Neutral,Chi Cubs,5,-1.5,+110,W by 3,+1.5
03/27,Home,Detroit,7,-1.5,+132,W by 1,-0.5
03/28,Home,Detroit,7,-1.5,-105,W by 3,+1.5
03/29,Home,Detroit,7,-1.5,+100,W by 4,+2.5
03/31,Home,Atlanta,4,-1.5,-115,W by 5,+3.5
04/01,Home,Atlanta,4,-1.5,+154,W by 2,+0.5
04/02,Home,Atlanta,4,-1.5,-122,W by 1,-0.5
04/04,Away,Philadelphia,6,-1.5,+125,L by 1,-2.5
04/05,Away,Philadelphia,6,+1.5,-211,W by 2,+3.5
04/06,Away,Philadelphia,6,-1.5,+130,L by 1,-2.5
04/07,Away,Washington,25,-1.5,-118,L by 2,-3.5
04/08,Away,Washington,25,-1.5,-118,L by 6,-7.5
04/09,Away,Washington,25,-1.5,-122,W by 1,-0.5
04/11,Home,Chi Cubs,5,-1.5,+117,W by 3,+1.5
04/12,Home,Chi Cubs,5,-1.5,+110,L by 16,-17.5
04/13,Home,Chi Cubs,5,-1.5,-113,L by 2,-3.5
04/14,Home,Colorado,30,-1.5,-163,W by 2,+0.5
04/15,Home,Colorado,30,-1.5,-141,W by 4,+2.5
04/16,Home,Colorado,30,-1.5,-150,W by 1,-0.5
04/18,Away,Texas,14,-1.5,+135,W by 3,+1.5
04/19,Away,Texas,14,+1.5,-205,L by 1,+0.5
04/20,Away,Texas,14,-1.5,+107,W by 1,-0.5
04/22,Away,Chi Cubs,5,-1.5,+136,L by 1,-2.5
04/23,Away,Chi Cubs,5,+1.5,-180,L by 1,+0.5
04/25,Home,Pittsburgh,24,-1.5,+101,L by 3,-4.5
04/26,Home,Pittsburgh,24,-1.5,-140,W by 4,+2.5
04/27,Home,Pittsburgh,24,-1.5,-152,W by 7,+5.5
04/28,Home,Miami,28,-1.5,-142,W by 1,-0.5
04/29,Home,Miami,28,-1.5,+104,W by 13,+11.5
04/30,Home,Miami,28,-1.5,-166,W by 5,+3.5
05/02,Away,Atlanta,4,-1.5,-112,W by 1,-0.5
05/03,Away,Atlanta,4,+1.5,-192,W by 7,+8.5
05/04,Away,Atlanta,4,-1.5,+114,L by 1,-2.5
05/05,Away,Miami,28,-1.5,-145,W by 3,+1.5
05/06,Away,Miami,28,-1.5,-155,L by 1,-2.5
05/07,Away,Miami,28,-1.5,-141,W by 9,+7.5
05/08,Away,Arizona,8,-1.5,+104,L by 2,-3.5
05/09,Away,Arizona,8,+1.5,-195,W by 3,+4.5
05/10,Away,Arizona,8,+1.5,-191,L by 3,-1.5
05/11,Away,Arizona,8,-1.5,+138,W by 7,+5.5
05/13,Home,Sacramento,27,-1.5,-106,L by 10,-11.5
05/14,Home,Sacramento,27,-1.5,-139,W by 6,+4.5
05/15,Home,Sacramento,27,-1.5,-134,W by 17,+15.5
05/16,Home,LA Angels,26,-1.5,-160,L by 4,-5.5
05/17,Home,LA Angels,26,-1.5,-117,L by 2,-3.5
05/18,Home,LA Angels,26,-1.5,-124,L by 2,-3.5
05/19,Home,Arizona,8,-1.5,+132,L by 4,-5.5
05/20,Home,Arizona,8,-1.5,-125,W by 1,-0.5
05/21,Home,Arizona,8,-1.5,+142,W by 2,+0.5
