# Data scraped on: 2025-05-22 19:42:24
Date,Opponent,Opp Rank,H/A/N,Score
03/27,Pittsburgh,24,Home,W 5-4
03/28,Pittsburgh,24,Home,L 3-4
03/29,Pittsburgh,24,Home,W 5-4
03/30,Pittsburgh,24,Home,W 3-2
03/31,NY Mets,3,Home,L 4-10
04/01,NY Mets,3,Home,W 4-2
04/02,NY Mets,3,Home,L 5-6
04/04,at Atlanta,4,Away,L 0-10
04/05,at Atlanta,4,Away,W 4-0
04/07,at NY Mets,3,Away,L 0-2
04/08,at NY Mets,3,Away,L 5-10
04/09,at NY Mets,3,Away,W 5-0
04/11,Washington,25,Home,L 4-7
04/12,Washington,25,Home,W 7-6
04/13,Washington,25,Home,W 11-4
04/15,Arizona,8,Home,L 4-10
04/16,Arizona,8,Home,L 2-6
04/17,Arizona,8,Home,L 4-6
04/18,at Philadelphia,6,Away,L 2-7
04/19,at Philadelphia,6,Away,L 10-11
04/20,at Philadelphia,6,Away,W 7-5
04/21,Cincinnati,16,Home,W 6-3
04/22,Cincinnati,16,Home,W 4-3
04/23,Cincinnati,16,Home,L 2-5
04/25,at Seattle,13,Away,W 8-4
04/26,at Seattle,13,Away,L 0-14
04/27,at Seattle,13,Away,L 6-7
04/28,at LA Dodgers,1,Away,L 6-7
04/29,at LA Dodgers,1,Away,L 2-15
04/30,at LA Dodgers,1,Away,L 7-12
05/02,Sacramento,27,Home,L 1-6
05/03,Sacramento,27,Home,W 9-6
05/04,Sacramento,27,Home,L 2-3
05/05,LA Dodgers,1,Home,L 4-7
05/06,LA Dodgers,1,Home,W 5-4
05/07,LA Dodgers,1,Home,L 1-10
05/09,at Chi Sox,29,Away,L 2-6
05/10,at Chi Sox,29,Away,W 3-1
05/11,at Chi Sox,29,Away,L 2-4
05/12,at Chi Cubs,5,Away,L 2-5
05/13,at Chi Cubs,5,Away,L 4-5
05/14,at Chi Cubs,5,Away,W 3-1
05/16,Tampa Bay,17,Home,W 9-4
05/17,Tampa Bay,17,Home,L 0-4
05/18,Tampa Bay,17,Home,W 5-1
05/19,Chi Cubs,5,Home,W 8-7
05/20,Chi Cubs,5,Home,L 1-14
05/21,Chi Cubs,5,Home,L 1-2
