# Data scraped on: 2025-05-22 19:42:19
Date,H/A/N,Opponent,Opp Rank,MIA Line,MIA Odds,Result,Diff
03/27,Home,Pittsburgh,24,+1.5,-145,W by 1,+2.5
03/28,Home,Pittsburgh,24,+1.5,-145,L by 1,+0.5
03/29,Home,Pittsburgh,24,+1.5,-162,W by 1,+2.5
03/30,Home,Pittsburgh,24,-1.5,+188,W by 1,-0.5
03/31,Home,NY Mets,3,+1.5,+101,L by 6,-4.5
04/01,Home,NY Mets,3,+1.5,-136,W by 2,+3.5
04/02,Home,NY Mets,3,+1.5,+110,L by 1,+0.5
04/04,Away,Atlanta,4,+1.5,-101,L by 10,-8.5
04/05,Away,Atlanta,4,+1.5,+111,W by 4,+5.5
04/07,Away,NY Mets,3,+1.5,+108,L by 2,-0.5
04/08,Away,NY Mets,3,+1.5,+100,L by 5,-3.5
04/09,Away,NY Mets,3,+1.5,-122,W by 5,+6.5
04/11,Home,Washington,25,+1.5,-180,L by 3,-1.5
04/12,Home,Washington,25,-1.5,+145,W by 1,-0.5
04/13,Home,Washington,25,+1.5,-132,W by 7,+8.5
04/15,Home,Arizona,8,+1.5,-122,L by 6,-4.5
04/16,Home,Arizona,8,+1.5,-132,L by 4,-2.5
04/17,Home,Arizona,8,+1.5,-133,L by 2,-0.5
04/18,Away,Philadelphia,6,+1.5,-109,L by 5,-3.5
04/19,Away,Philadelphia,6,+1.5,+104,L by 1,+0.5
04/20,Away,Philadelphia,6,+1.5,+124,W by 2,+3.5
04/21,Home,Cincinnati,16,+1.5,-170,W by 3,+4.5
04/22,Home,Cincinnati,16,+1.5,-164,W by 1,+2.5
04/23,Home,Cincinnati,16,-1.5,+187,L by 3,-4.5
04/25,Away,Seattle,13,+1.5,+114,W by 4,+5.5
04/26,Away,Seattle,13,+1.5,-112,L by 14,-12.5
04/27,Away,Seattle,13,+1.5,-177,L by 1,+0.5
04/28,Away,LA Dodgers,1,+1.5,+120,L by 1,+0.5
04/29,Away,LA Dodgers,1,+1.5,-115,L by 13,-11.5
04/30,Away,LA Dodgers,1,+1.5,+140,L by 5,-3.5
05/02,Home,Sacramento,27,+1.5,-142,L by 5,-3.5
05/03,Home,Sacramento,27,-1.5,+165,W by 3,+1.5
05/04,Home,Sacramento,27,+1.5,-170,L by 1,+0.5
05/05,Home,LA Dodgers,1,+1.5,+125,L by 3,-1.5
05/06,Home,LA Dodgers,1,+1.5,+130,W by 1,+2.5
05/07,Home,LA Dodgers,1,+1.5,+128,L by 9,-7.5
05/09,Away,Chi Sox,29,-1.5,+114,L by 4,-5.5
05/10,Away,Chi Sox,29,-1.5,+157,W by 2,+0.5
05/11,Away,Chi Sox,29,-1.5,+125,L by 2,-3.5
05/12,Away,Chi Cubs,5,+1.5,+105,L by 3,-1.5
05/13,Away,Chi Cubs,5,+1.5,+102,L by 1,+0.5
05/14,Away,Chi Cubs,5,+1.5,-119,W by 2,+3.5
05/16,Home,Tampa Bay,17,+1.5,-156,W by 5,+6.5
05/17,Home,Tampa Bay,17,+1.5,-135,L by 4,-2.5
05/18,Home,Tampa Bay,17,+1.5,-118,W by 4,+5.5
05/19,Home,Chi Cubs,5,+1.5,-113,W by 1,+2.5
05/20,Home,Chi Cubs,5,+1.5,-131,L by 13,-11.5
05/21,Home,Chi Cubs,5,+1.5,-131,L by 1,+0.5
