# Data scraped on: 2025-05-22 19:42:30
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,1.0,+2.5
As Home Underdog,14-10-0,58.3%,-1.4,+0.1
Non-League Games,7-5-0,58.3%,-1.1,-0.6
After A Loss,16-12-0,57.1%,-1.2,-0.1
No Rest,22-17-0,56.4%,-1.5,-0.5
As Underdog,23-18-0,56.1%,-1.9,-0.4
With Equal Rest,23-19-0,54.8%,-1.7,-0.6
As Home Team,15-13-0,53.6%,-1.1,0.0
As Away Underdog,9-8-0,52.9%,-2.6,-1.1
Non-Division Games,18-16-0,52.9%,-2.0,-1.0
All Games,25-23-0,52.1%,-1.6,-0.6
Regular Season Games,25-23-0,52.1%,-1.6,-0.6
As Away Team,10-10-0,50.0%,-2.4,-1.4
Division Games,7-7-0,50.0%,-0.9,+0.4
League Games,18-18-0,50.0%,-1.8,-0.6
After A Win,8-11-0,42.1%,-2.5,-1.4
With Rest Advantage,2-3-0,40.0%,-0.4,+0.5
As Away Favorite,1-2-0,33.3%,-1.3,-2.8
As Favorite,2-5-0,28.6%,-0.3,-1.8
As Home Favorite,1-3-0,25.0%,0.5,-1.0
1 Day Off,2-6-0,25.0%,-2.6,-1.5
With Rest Disadvantage,0-1-0,0.0%,-6.0,-4.5
