# Data scraped on: 2025-05-22 19:42:08
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,1.0,+2.5
As Home Favorite,3-1-0,75.0%,0.5,-1.0
As Favorite,4-3-0,57.1%,-0.3,-1.8
As Home Team,13-15-0,46.4%,-1.1,0.0
After A Loss,12-16-0,42.9%,-1.2,-0.1
Division Games,6-8-0,42.9%,-0.9,+0.4
As Home Underdog,10-14-0,41.7%,-1.4,+0.1
Non-League Games,5-7-0,41.7%,-1.1,-0.6
No Rest,16-23-0,41.0%,-1.5,-0.5
With Equal Rest,17-25-0,40.5%,-1.7,-0.6
With Rest Advantage,2-3-0,40.0%,-0.4,+0.5
All Games,19-29-0,39.6%,-1.6,-0.6
Regular Season Games,19-29-0,39.6%,-1.6,-0.6
League Games,14-22-0,38.9%,-1.8,-0.6
Non-Division Games,13-21-0,38.2%,-2.0,-1.0
As Underdog,15-26-0,36.6%,-1.9,-0.4
As Away Favorite,1-2-0,33.3%,-1.3,-2.8
After A Win,6-13-0,31.6%,-2.5,-1.4
As Away Team,6-14-0,30.0%,-2.4,-1.4
As Away Underdog,5-12-0,29.4%,-2.6,-1.1
1 Day Off,2-6-0,25.0%,-2.6,-1.5
With Rest Disadvantage,0-1-0,0.0%,-6.0,-4.5
