# Data scraped on: 2025-05-22 19:42:59
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at NY Yankees,2,Away,L 2-4
03/29,at NY Yankees,2,Away,L 9-20
03/30,at NY Yankees,2,Away,L 3-12
03/31,Kansas City,20,Home,L 1-11
04/01,Kansas City,20,Home,W 5-0
04/02,Kansas City,20,Home,W 3-2
04/03,Cincinnati,16,Home,W 1-0
04/04,Cincinnati,16,Home,W 3-2
04/05,Cincinnati,16,Home,L 7-11
04/06,Cincinnati,16,Home,W 8-2
04/08,at Colorado,30,Away,W 7-1
04/09,at Colorado,30,Away,W 17-2
04/10,at Colorado,30,Away,L 2-7
04/11,at Arizona,8,Away,W 7-0
04/12,at Arizona,8,Away,L 4-5
04/13,at Arizona,8,Away,L 2-5
04/14,Detroit,7,Home,L 1-9
04/15,Detroit,7,Home,W 5-0
04/16,Detroit,7,Home,W 5-1
04/18,Sacramento,27,Home,W 5-3
04/19,Sacramento,27,Home,L 1-3
04/20,Sacramento,27,Home,W 14-1
04/21,at SF Giants,15,Away,L 2-5
04/22,at SF Giants,15,Away,W 11-3
04/23,at SF Giants,15,Away,L 2-4
04/24,at SF Giants,15,Away,L 5-6
04/25,at St. Louis,19,Away,L 2-3
04/26,at St. Louis,19,Away,L 5-6
04/27,at St. Louis,19,Away,W 7-1
04/29,at Chi Sox,29,Away,W 7-2
04/30,at Chi Sox,29,Away,W 6-4
05/01,at Chi Sox,29,Away,L 0-8
05/02,Chi Cubs,5,Home,L 0-10
05/03,Chi Cubs,5,Home,L 2-6
05/04,Chi Cubs,5,Home,W 4-0
05/05,Houston,11,Home,W 5-1
05/06,Houston,11,Home,W 4-3
05/07,Houston,11,Home,L 1-9
05/09,at Tampa Bay,17,Away,L 3-4
05/10,at Tampa Bay,17,Away,L 2-3
05/11,at Tampa Bay,17,Away,W 4-2
05/12,at Cleveland,23,Away,L 0-5
05/13,at Cleveland,23,Away,L 0-2
05/14,at Cleveland,23,Away,W 9-5
05/16,Minnesota,12,Home,L 0-3
05/17,Minnesota,12,Home,L 0-7
05/18,Minnesota,12,Home,W 5-2
05/19,Baltimore,22,Home,W 5-4
05/20,Baltimore,22,Home,W 5-2
05/21,Baltimore,22,Home,L 4-8
