# Data scraped on: 2025-05-22 19:42:36
Trend,Over Record,Over %,Under %,Total +/-
After A Loss,11-13-1,45.8%,54.2%,+1.1
Division Games,4-5-1,44.4%,55.6%,-0.1
With Equal Rest,18-25-2,41.9%,58.1%,+0.6
As Home Favorite,6-9-1,40.0%,60.0%,0.0
As Away Underdog,6-9-2,40.0%,60.0%,+1.3
1 Day Off,2-3-1,40.0%,60.0%,+2.2
As Away Team,9-14-2,39.1%,60.9%,+0.9
As Favorite,9-14-1,39.1%,60.9%,+0.1
No Rest,16-25-2,39.0%,61.0%,+0.1
League Games,7-11-2,38.9%,61.1%,+0.4
All Games,18-29-3,38.3%,61.7%,+0.3
Regular Season Games,18-29-3,38.3%,61.7%,+0.3
Non-League Games,11-18-1,37.9%,62.1%,+0.2
As Home Team,9-15-1,37.5%,62.5%,-0.3
As Underdog,9-15-2,37.5%,62.5%,+0.5
As Away Favorite,3-5-0,37.5%,62.5%,+0.3
Non-Division Games,14-24-2,36.8%,63.2%,+0.4
As Home Underdog,3-6-0,33.3%,66.7%,-0.9
After A Win,7-15-2,31.8%,68.2%,-0.4
4+ Days Off,0-1-0,0.0%,100.0%,-2.0
With Rest Advantage,0-2-1,0.0%,100.0%,-2.2
With Rest Disadvantage,0-2-0,0.0%,100.0%,-2.5
