# Data scraped on: 2025-05-22 19:42:52
Date,H/A/N,Opponent,Opp Rank,MIL Line,MIL Odds,Result,Diff
03/27,Away,NY Yankees,2,+1.5,-164,L by 2,-0.5
03/29,Away,NY Yankees,2,+1.5,-148,L by 11,-9.5
03/30,Away,NY Yankees,2,+1.5,-167,L by 9,-7.5
03/31,Home,Kansas City,20,-1.5,+179,L by 10,-11.5
04/01,Home,Kansas City,20,-1.5,+175,W by 5,+3.5
04/02,Home,Kansas City,20,-1.5,+178,W by 1,-0.5
04/03,Home,Cincinnati,16,-1.5,+175,W by 1,-0.5
04/04,Home,Cincinnati,16,-1.5,+170,W by 1,-0.5
04/05,Home,Cincinnati,16,-1.5,+181,L by 4,-5.5
04/06,Home,Cincinnati,16,-1.5,+148,W by 6,+4.5
04/08,Away,Colorado,30,-1.5,-105,W by 6,+4.5
04/09,Away,Colorado,30,-1.5,+100,W by 15,+13.5
04/10,Away,Colorado,30,-1.5,+120,L by 5,-6.5
04/11,Away,Arizona,8,+1.5,-155,W by 7,+8.5
04/12,Away,Arizona,8,+1.5,-137,L by 1,+0.5
04/13,Away,Arizona,8,+1.5,-210,L by 3,-1.5
04/14,Home,Detroit,7,+1.5,-122,L by 8,-6.5
04/15,Home,Detroit,7,+1.5,-175,W by 5,+6.5
04/16,Home,Detroit,7,-1.5,+147,W by 4,+2.5
04/18,Home,Sacramento,27,-1.5,+115,W by 2,+0.5
04/19,Home,Sacramento,27,-1.5,+152,L by 2,-3.5
04/20,Home,Sacramento,27,-1.5,+158,W by 13,+11.5
04/21,Away,SF Giants,15,+1.5,-185,L by 3,-1.5
04/22,Away,SF Giants,15,+1.5,-164,W by 8,+9.5
04/23,Away,SF Giants,15,+1.5,-185,L by 2,-0.5
04/24,Away,SF Giants,15,+1.5,-162,L by 1,+0.5
04/25,Away,St. Louis,19,+1.5,-180,L by 1,+0.5
04/26,Away,St. Louis,19,+1.5,-166,L by 1,+0.5
04/27,Away,St. Louis,19,+1.5,-219,W by 6,+7.5
04/29,Away,Chi Sox,29,-1.5,-141,W by 5,+3.5
04/30,Away,Chi Sox,29,-1.5,+119,W by 2,+0.5
05/01,Away,Chi Sox,29,-1.5,-102,L by 8,-9.5
05/02,Home,Chi Cubs,5,+1.5,-155,L by 10,-8.5
05/03,Home,Chi Cubs,5,+1.5,-168,L by 4,-2.5
05/04,Home,Chi Cubs,5,+1.5,-173,W by 4,+5.5
05/05,Home,Houston,11,+1.5,-180,W by 4,+5.5
05/06,Home,Houston,11,-1.5,+182,W by 1,-0.5
05/07,Home,Houston,11,+1.5,-153,L by 8,-6.5
05/09,Away,Tampa Bay,17,-1.5,+143,L by 1,-2.5
05/10,Away,Tampa Bay,17,+1.5,-189,L by 1,+0.5
05/11,Away,Tampa Bay,17,+1.5,-172,W by 2,+3.5
05/12,Away,Cleveland,23,-1.5,+140,L by 5,-6.5
05/13,Away,Cleveland,23,+1.5,-185,L by 2,-0.5
05/14,Away,Cleveland,23,+1.5,-183,W by 4,+5.5
05/16,Home,Minnesota,12,+1.5,-172,L by 3,-1.5
05/17,Home,Minnesota,12,+1.5,-168,L by 7,-5.5
05/18,Home,Minnesota,12,-1.5,+156,W by 3,+1.5
05/19,Home,Baltimore,22,-1.5,+182,W by 1,-0.5
05/20,Home,Baltimore,22,-1.5,+168,W by 3,+1.5
05/21,Home,Baltimore,22,-1.5,+171,L by 4,-5.5
