# Data scraped on: 2025-05-22 19:43:04
Trend,Run Line Record,Cover %,MOV,Run Line +/-
With Rest Disadvantage,2-0-0,100.0%,3.0,+4.5
After A Loss,15-10-0,60.0%,-0.2,+0.5
As Away Underdog,10-7-0,58.8%,-0.6,+0.9
As Away Team,14-11-0,56.0%,0.0,+0.5
League Games,11-9-0,55.0%,1.0,+1.4
As Underdog,13-13-0,50.0%,-1.4,+0.1
As Away Favorite,4-4-0,50.0%,1.1,-0.4
1 Day Off,3-3-0,50.0%,-0.3,-0.8
Division Games,5-5-0,50.0%,-0.2,+0.1
No Rest,21-22-0,48.8%,-0.1,0.0
All Games,24-26-0,48.0%,-0.1,-0.1
Regular Season Games,24-26-0,48.0%,-0.1,-0.1
Non-Division Games,19-21-0,47.5%,-0.1,-0.1
With Equal Rest,21-24-0,46.7%,-0.2,-0.2
As Favorite,11-13-0,45.8%,1.3,-0.3
As Home Favorite,7-9-0,43.8%,1.3,-0.2
Non-League Games,13-17-0,43.3%,-0.9,-1.1
As Home Team,10-15-0,40.0%,-0.2,-0.7
After A Win,9-15-0,37.5%,0.0,-0.7
As Home Underdog,3-6-0,33.3%,-3.0,-1.5
With Rest Advantage,1-2-0,33.3%,-0.7,-1.2
4+ Days Off,0-1-0,0.0%,-2.0,-0.5
