# Data scraped on: 2025-05-22 19:42:40
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Home Favorite,12-4-0,75.0%,1.3,-0.2
As Favorite,16-8-0,66.7%,1.3,-0.3
As Home Team,15-10-0,60.0%,-0.2,-0.7
After A Win,13-11-0,54.2%,0.0,-0.7
As Away Favorite,4-4-0,50.0%,1.1,-0.4
1 Day Off,3-3-0,50.0%,-0.3,-0.8
Division Games,5-5-0,50.0%,-0.2,+0.1
Non-League Games,15-15-0,50.0%,-0.9,-1.1
With Rest Disadvantage,1-1-0,50.0%,3.0,+4.5
With Equal Rest,22-23-0,48.9%,-0.2,-0.2
No Rest,21-22-0,48.8%,-0.1,0.0
All Games,24-26-0,48.0%,-0.1,-0.1
Regular Season Games,24-26-0,48.0%,-0.1,-0.1
Non-Division Games,19-21-0,47.5%,-0.1,-0.1
League Games,9-11-0,45.0%,1.0,+1.4
After A Loss,11-14-0,44.0%,-0.2,+0.5
As Away Team,9-16-0,36.0%,0.0,+0.5
As Home Underdog,3-6-0,33.3%,-3.0,-1.5
With Rest Advantage,1-2-0,33.3%,-0.7,-1.2
As Underdog,8-18-0,30.8%,-1.4,+0.1
As Away Underdog,5-12-0,29.4%,-0.6,+0.9
4+ Days Off,0-1-0,0.0%,-2.0,-0.5
