# Data scraped on: 2025-05-22 19:43:34
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at St. Louis,19,Away,L 3-5
03/29,at St. Louis,19,Away,L 1-5
03/30,at St. Louis,19,Away,L 2-9
03/31,at Chi Sox,29,Away,L 0-9
04/01,at Chi Sox,29,Away,W 8-3
04/02,at Chi Sox,29,Away,W 6-1
04/03,Houston,11,Home,L 2-5
04/05,Houston,11,Home,W 6-1
04/06,Houston,11,Home,L 7-9
04/07,at Kansas City,20,Away,L 2-4
04/08,at Kansas City,20,Away,L 1-2
04/09,at Kansas City,20,Away,W 4-0
04/10,at Kansas City,20,Away,L 2-3
04/11,Detroit,7,Home,L 6-7
04/12,Detroit,7,Home,L 0-4
04/13,Detroit,7,Home,W 5-1
04/14,NY Mets,3,Home,L 1-5
04/15,NY Mets,3,Home,W 6-3
04/16,NY Mets,3,Home,W 4-3
04/18,at Atlanta,4,Away,L 4-6
04/19,at Atlanta,4,Away,L 3-4
04/20,at Atlanta,4,Away,L 2-6
04/22,Chi Sox,29,Home,W 4-2
04/23,Chi Sox,29,Home,W 6-3
04/24,Chi Sox,29,Home,L 0-3
04/25,LA Angels,26,Home,W 11-4
04/26,LA Angels,26,Home,W 5-1
04/27,LA Angels,26,Home,W 5-0
04/28,at Cleveland,23,Away,W 11-1
04/29,at Cleveland,23,Away,L 1-2
04/30,at Cleveland,23,Away,L 2-4
05/01,at Cleveland,23,Away,L 3-4
05/02,at Boston,9,Away,L 1-6
05/03,at Boston,9,Away,W 4-3
05/04,at Boston,9,Away,W 5-4
05/06,Baltimore,22,Home,W 9-1
05/07,Baltimore,22,Home,W 5-2
05/08,Baltimore,22,Home,W 5-2
05/09,SF Giants,15,Home,W 3-1
05/10,SF Giants,15,Home,W 2-1
05/11,SF Giants,15,Home,W 7-6
05/14,at Baltimore,22,Away,W 6-3
05/14,at Baltimore,22,Away,W 8-6
05/15,at Baltimore,22,Away,W 4-0
05/16,at Milwaukee,18,Away,W 3-0
05/17,at Milwaukee,18,Away,W 7-0
05/18,at Milwaukee,18,Away,L 2-5
05/19,Cleveland,23,Home,W 6-5
05/21,Cleveland,23,Home,L 1-5
