# Data scraped on: 2025-05-22 19:43:23
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Away,St. Louis,19,7.5,3-5,Over,+0.5
03/29,Away,St. Louis,19,7.5,1-5,Under,-1.5
03/30,Away,St. Louis,19,8.5,2-9,Over,+2.5
03/31,Away,Chi Sox,29,7.0,0-9,Over,+2.0
04/01,Away,Chi Sox,29,7.5,8-3,Over,+3.5
04/02,Away,Chi Sox,29,7.0,6-1,Push,0.0
04/03,Home,Houston,11,7.0,2-5,Push,0.0
04/05,Home,Houston,11,7.5,6-1,Under,-0.5
04/06,Home,Houston,11,8.5,7-9,Over,+7.5
04/07,Away,Kansas City,20,8.0,2-4,Under,-2.0
04/08,Away,Kansas City,20,7.5,1-2,Under,-4.5
04/09,Away,Kansas City,20,7.5,4-0,Under,-3.5
04/10,Away,Kansas City,20,8.5,2-3,Under,-3.5
04/11,Home,Detroit,7,8.0,6-7,Over,+5.0
04/12,Home,Detroit,7,8.5,0-4,Under,-4.5
04/13,Home,Detroit,7,8.5,5-1,Under,-2.5
04/14,Home,NY Mets,3,7.5,1-5,Under,-1.5
04/15,Home,NY Mets,3,8.0,6-3,Over,+1.0
04/16,Home,NY Mets,3,8.0,4-3,Under,-1.0
04/18,Away,Atlanta,4,8.0,4-6,Over,+2.0
04/19,Away,Atlanta,4,7.5,3-4,Under,-0.5
04/20,Away,Atlanta,4,8.0,2-6,Push,0.0
04/22,Home,Chi Sox,29,8.5,4-2,Under,-2.5
04/23,Home,Chi Sox,29,8.5,6-3,Over,+0.5
04/24,Home,Chi Sox,29,7.5,0-3,Under,-4.5
04/25,Home,LA Angels,26,8.0,11-4,Over,+7.0
04/26,Home,LA Angels,26,8.0,5-1,Under,-2.0
04/27,Home,LA Angels,26,7.5,5-0,Under,-2.5
04/28,Away,Cleveland,23,8.0,11-1,Over,+4.0
04/29,Away,Cleveland,23,8.5,1-2,Under,-5.5
04/30,Away,Cleveland,23,7.0,2-4,Under,-1.0
05/01,Away,Cleveland,23,9.0,3-4,Under,-2.0
05/02,Away,Boston,9,9.0,1-6,Under,-2.0
05/03,Away,Boston,9,9.5,4-3,Under,-2.5
05/04,Away,Boston,9,8.5,5-4,Over,+0.5
05/06,Home,Baltimore,22,9.0,9-1,Over,+1.0
05/07,Home,Baltimore,22,9.0,5-2,Under,-2.0
05/08,Home,Baltimore,22,8.0,5-2,Under,-1.0
05/09,Home,SF Giants,15,8.5,3-1,Under,-4.5
05/10,Home,SF Giants,15,7.0,2-1,Under,-4.0
05/11,Home,SF Giants,15,8.5,7-6,Over,+4.5
05/14,Away,Baltimore,22,8.5,6-3,Over,+0.5
05/14,Away,Baltimore,22,9.0,8-6,Over,+5.0
05/15,Away,Baltimore,22,9.0,4-0,Under,-5.0
05/16,Away,Milwaukee,18,7.5,3-0,Under,-4.5
05/17,Away,Milwaukee,18,7.5,7-0,Under,-0.5
05/18,Away,Milwaukee,18,7.5,2-5,Under,-0.5
05/19,Home,Cleveland,23,7.5,6-5,Over,+3.5
05/21,Home,Cleveland,23,7.5,1-5,Under,-1.5
