# Data scraped on: 2025-05-22 19:43:11
Trend,Over Record,Over %,Under %,Total +/-
2-3 Days Off,1-0-0,100.0%,0.0%,+0.5
4+ Days Off,1-0-0,100.0%,0.0%,+0.5
Second Game of Doubleheader,1-0-0,100.0%,0.0%,+5.0
As Home Underdog,1-1-0,50.0%,50.0%,-1.8
As Away Favorite,4-5-1,44.4%,55.6%,-0.1
Non-Division Games,11-17-2,39.3%,60.7%,-0.1
With Equal Rest,16-26-3,38.1%,61.9%,-0.4
As Favorite,11-18-2,37.9%,62.1%,-0.1
As Away Team,9-15-2,37.5%,62.5%,-0.7
League Games,12-20-2,37.5%,62.5%,-0.4
All Games,17-29-3,37.0%,63.0%,-0.5
Regular Season Games,17-29-3,37.0%,63.0%,-0.5
As Home Team,8-14-1,36.4%,63.6%,-0.2
After A Win,9-16-2,36.0%,64.0%,-0.7
Non-League Games,5-9-1,35.7%,64.3%,-0.5
As Underdog,6-11-1,35.3%,64.7%,-1.2
After A Loss,7-13-1,35.0%,65.0%,-0.2
As Home Favorite,7-13-1,35.0%,65.0%,0.0
As Away Underdog,5-10-1,33.3%,66.7%,-1.1
1 Day Off,2-4-0,33.3%,66.7%,-0.5
Division Games,6-12-1,33.3%,66.7%,-1.0
With Rest Disadvantage,1-2-0,33.3%,66.7%,-1.3
No Rest,12-25-3,32.4%,67.6%,-0.7
With Rest Advantage,0-1-0,0.0%,100.0%,-2.5
