# Data scraped on: 2025-05-22 19:43:29
Date,H/A/N,Opponent,Opp Rank,MIN Line,MIN Odds,Result,Diff
03/27,Away,St. Louis,19,-1.5,+152,L by 2,-3.5
03/29,Away,St. Louis,19,-1.5,+155,L by 4,-5.5
03/30,Away,St. Louis,19,-1.5,+154,L by 7,-8.5
03/31,Away,Chi Sox,29,-1.5,-115,L by 9,-10.5
04/01,Away,Chi Sox,29,-1.5,+110,W by 5,+3.5
04/02,Away,Chi Sox,29,-1.5,-110,W by 5,+3.5
04/03,Home,Houston,11,-1.5,+164,L by 3,-4.5
04/05,Home,Houston,11,-1.5,+171,W by 5,+3.5
04/06,Home,Houston,11,-1.5,+181,L by 2,-3.5
04/07,Away,Kansas City,20,+1.5,-205,L by 2,-0.5
04/08,Away,Kansas City,20,+1.5,-208,L by 1,+0.5
04/09,Away,Kansas City,20,+1.5,-222,W by 4,+5.5
04/10,Away,Kansas City,20,+1.5,-205,L by 1,+0.5
04/11,Home,Detroit,7,-1.5,+180,L by 1,-2.5
04/12,Home,Detroit,7,-1.5,+140,L by 4,-5.5
04/13,Home,Detroit,7,-1.5,+180,W by 4,+2.5
04/14,Home,NY Mets,3,-1.5,+182,L by 4,-5.5
04/15,Home,NY Mets,3,+1.5,-180,W by 3,+4.5
04/16,Home,NY Mets,3,-1.5,+182,W by 1,-0.5
04/18,Away,Atlanta,4,+1.5,-158,L by 2,-0.5
04/19,Away,Atlanta,4,+1.5,-108,L by 1,+0.5
04/20,Away,Atlanta,4,+1.5,-207,L by 4,-2.5
04/22,Home,Chi Sox,29,-1.5,-114,W by 2,+0.5
04/23,Home,Chi Sox,29,-1.5,-125,W by 3,+1.5
04/24,Home,Chi Sox,29,-1.5,+101,L by 3,-4.5
04/25,Home,LA Angels,26,-1.5,+105,W by 7,+5.5
04/26,Home,LA Angels,26,-1.5,+165,W by 4,+2.5
04/27,Home,LA Angels,26,-1.5,+124,W by 5,+3.5
04/28,Away,Cleveland,23,+1.5,-201,W by 10,+11.5
04/29,Away,Cleveland,23,+1.5,-179,L by 1,+0.5
04/30,Away,Cleveland,23,-1.5,+164,L by 2,-3.5
05/01,Away,Cleveland,23,-1.5,+138,L by 1,-2.5
05/02,Away,Boston,9,+1.5,-196,L by 5,-3.5
05/03,Away,Boston,9,+1.5,-192,W by 1,+2.5
05/04,Away,Boston,9,+1.5,-110,W by 1,+2.5
05/06,Home,Baltimore,22,-1.5,+129,W by 8,+6.5
05/07,Home,Baltimore,22,-1.5,+148,W by 3,+1.5
05/08,Home,Baltimore,22,-1.5,+133,W by 3,+1.5
05/09,Home,SF Giants,15,+1.5,-170,W by 2,+3.5
05/10,Home,SF Giants,15,-1.5,+214,W by 1,-0.5
05/11,Home,SF Giants,15,-1.5,+134,W by 1,-0.5
05/14,Away,Baltimore,22,+1.5,-198,W by 3,+4.5
05/14,Away,Baltimore,22,+1.5,-185,W by 2,+3.5
05/15,Away,Baltimore,22,+1.5,-180,W by 4,+5.5
05/16,Away,Milwaukee,18,-1.5,+154,W by 3,+1.5
05/17,Away,Milwaukee,18,-1.5,+151,W by 7,+5.5
05/18,Away,Milwaukee,18,+1.5,-174,L by 3,-1.5
05/19,Home,Cleveland,23,-1.5,+140,W by 1,-0.5
05/21,Home,Cleveland,23,-1.5,+180,L by 4,-5.5
