# Data scraped on: 2025-05-22 19:43:39
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,2-0-0,100.0%,2.5,+4.0
2-3 Days Off,1-0-0,100.0%,3.0,+4.5
Second Game of Doubleheader,1-0-0,100.0%,2.0,+3.5
With Rest Advantage,1-0-0,100.0%,2.0,+0.5
As Underdog,13-5-0,72.2%,0.6,+2.1
As Away Underdog,11-5-0,68.8%,0.3,+1.8
With Rest Disadvantage,2-1-0,66.7%,1.3,+0.8
League Games,22-12-0,64.7%,1.2,+0.8
After A Win,17-10-0,63.0%,1.6,+1.2
As Away Team,15-11-0,57.7%,0.0,+0.3
Non-Division Games,17-13-0,56.7%,0.9,+0.6
All Games,27-22-0,55.1%,0.7,+0.3
Regular Season Games,27-22-0,55.1%,0.7,+0.3
No Rest,22-18-0,55.0%,0.6,+0.2
With Equal Rest,24-21-0,53.3%,0.6,+0.2
Division Games,10-9-0,52.6%,0.3,-0.3
As Home Team,12-11-0,52.2%,1.4,+0.2
1 Day Off,3-3-0,50.0%,0.8,-0.2
After A Loss,10-11-0,47.6%,-0.4,-0.8
As Home Favorite,10-11-0,47.6%,1.3,-0.2
As Favorite,14-17-0,45.2%,0.7,-0.8
As Away Favorite,4-6-0,40.0%,-0.5,-2.0
Non-League Games,5-10-0,33.3%,-0.6,-0.9
4+ Days Off,0-1-0,0.0%,-2.0,-3.5
