# Data scraped on: 2025-05-22 19:43:16
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Home Underdog,2-0-0,100.0%,2.5,+4.0
2-3 Days Off,1-0-0,100.0%,3.0,+4.5
Second Game of Doubleheader,1-0-0,100.0%,2.0,+3.5
With Rest Advantage,1-0-0,100.0%,2.0,+0.5
As Home Team,16-7-0,69.6%,1.4,+0.2
After A Win,18-9-0,66.7%,1.6,+1.2
As Home Favorite,14-7-0,66.7%,1.3,-0.2
With Rest Disadvantage,2-1-0,66.7%,1.3,+0.8
Non-Division Games,19-11-0,63.3%,0.9,+0.6
League Games,20-14-0,58.8%,1.2,+0.8
As Favorite,18-13-0,58.1%,0.7,-0.8
All Games,27-22-0,55.1%,0.7,+0.3
Regular Season Games,27-22-0,55.1%,0.7,+0.3
No Rest,22-18-0,55.0%,0.6,+0.2
With Equal Rest,24-21-0,53.3%,0.6,+0.2
As Underdog,9-9-0,50.0%,0.6,+2.1
1 Day Off,3-3-0,50.0%,0.8,-0.2
Non-League Games,7-8-0,46.7%,-0.6,-0.9
As Away Underdog,7-9-0,43.8%,0.3,+1.8
After A Loss,9-12-0,42.9%,-0.4,-0.8
As Away Team,11-15-0,42.3%,0.0,+0.3
Division Games,8-11-0,42.1%,0.3,-0.3
As Away Favorite,4-6-0,40.0%,-0.5,-2.0
4+ Days Off,0-1-0,0.0%,-2.0,-3.5
