# Data scraped on: 2025-05-22 19:44:04
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Houston,11,Away,L 1-3
03/28,at Houston,11,Away,W 3-1
03/29,at Houston,11,Away,L 1-2
03/31,at Miami,28,Away,W 10-4
04/01,at Miami,28,Away,L 2-4
04/02,at Miami,28,Away,W 6-5
04/04,Toronto,21,Home,W 5-0
04/05,Toronto,21,Home,W 3-2
04/06,Toronto,21,Home,W 2-1
04/07,Miami,28,Home,W 2-0
04/08,Miami,28,Home,W 10-5
04/09,Miami,28,Home,L 0-5
04/11,at Sacramento,27,Away,W 7-6
04/12,at Sacramento,27,Away,L 1-3
04/13,at Sacramento,27,Away,W 8-0
04/14,at Minnesota,12,Away,W 5-1
04/15,at Minnesota,12,Away,L 3-6
04/16,at Minnesota,12,Away,L 3-4
04/17,St. Louis,19,Home,W 4-1
04/18,St. Louis,19,Home,W 5-4
04/19,St. Louis,19,Home,W 3-0
04/20,St. Louis,19,Home,W 7-4
04/21,Philadelphia,6,Home,W 5-4
04/22,Philadelphia,6,Home,W 5-1
04/23,Philadelphia,6,Home,W 4-3
04/25,at Washington,25,Away,L 4-5
04/26,at Washington,25,Away,W 2-0
04/27,at Washington,25,Away,L 7-8
04/28,at Washington,25,Away,W 19-5
04/29,Arizona,8,Home,W 8-3
04/30,Arizona,8,Home,L 3-4
05/01,Arizona,8,Home,L 2-4
05/02,at St. Louis,19,Away,W 9-3
05/04,at St. Louis,19,Away,L 5-6
05/04,at St. Louis,19,Away,L 4-5
05/05,at Arizona,8,Away,W 5-4
05/06,at Arizona,8,Away,L 1-5
05/07,at Arizona,8,Away,W 7-1
05/09,Chi Cubs,5,Home,W 7-2
05/10,Chi Cubs,5,Home,L 5-6
05/11,Chi Cubs,5,Home,W 6-2
05/12,Pittsburgh,24,Home,W 4-3
05/13,Pittsburgh,24,Home,W 2-1
05/14,Pittsburgh,24,Home,L 0-4
05/16,at NY Yankees,2,Away,L 2-6
05/17,at NY Yankees,2,Away,W 3-2
05/18,at NY Yankees,2,Away,L 2-8
05/19,at Boston,9,Away,L 1-3
05/20,at Boston,9,Away,L 0-2
05/21,at Boston,9,Away,W 5-1
