# Data scraped on: 2025-05-22 19:43:59
Date,H/A/N,Opponent,Opp Rank,NYM Line,NYM Odds,Result,Diff
03/27,Away,Houston,11,+1.5,-208,L by 2,-0.5
03/28,Away,Houston,11,+1.5,-202,W by 2,+3.5
03/29,Away,Houston,11,+1.5,-192,L by 1,+0.5
03/31,Away,Miami,28,-1.5,-112,W by 6,+4.5
04/01,Away,Miami,28,-1.5,+116,L by 2,-3.5
04/02,Away,Miami,28,-1.5,-130,W by 1,-0.5
04/04,Home,Toronto,21,-1.5,+165,W by 5,+3.5
04/05,Home,Toronto,21,-1.5,+163,W by 1,-0.5
04/06,Home,Toronto,21,-1.5,+160,W by 1,-0.5
04/07,Home,Miami,28,-1.5,-128,W by 2,+0.5
04/08,Home,Miami,28,-1.5,-120,W by 5,+3.5
04/09,Home,Miami,28,-1.5,+102,L by 5,-6.5
04/11,Away,Sacramento,27,-1.5,+133,W by 1,-0.5
04/12,Away,Sacramento,27,-1.5,+127,L by 2,-3.5
04/13,Away,Sacramento,27,-1.5,+114,W by 8,+6.5
04/14,Away,Minnesota,12,+1.5,-212,W by 4,+5.5
04/15,Away,Minnesota,12,-1.5,+150,L by 3,-4.5
04/16,Away,Minnesota,12,+1.5,-205,L by 1,+0.5
04/17,Home,St. Louis,19,-1.5,+164,W by 3,+1.5
04/18,Home,St. Louis,19,-1.5,+107,W by 1,-0.5
04/19,Home,St. Louis,19,-1.5,+102,W by 3,+1.5
04/20,Home,St. Louis,19,-1.5,+159,W by 3,+1.5
04/21,Home,Philadelphia,6,-1.5,+154,W by 1,-0.5
04/22,Home,Philadelphia,6,+1.5,-148,W by 4,+5.5
04/23,Home,Philadelphia,6,+1.5,-175,W by 1,+2.5
04/25,Away,Washington,25,-1.5,-110,L by 1,-2.5
04/26,Away,Washington,25,-1.5,-122,W by 2,+0.5
04/27,Away,Washington,25,-1.5,+119,L by 1,-2.5
04/28,Away,Washington,25,-1.5,-108,W by 14,+12.5
04/29,Home,Arizona,8,-1.5,+147,W by 5,+3.5
04/30,Home,Arizona,8,+1.5,-175,L by 1,+0.5
05/01,Home,Arizona,8,-1.5,+130,L by 2,-3.5
05/02,Away,St. Louis,19,-1.5,+146,W by 6,+4.5
05/04,Away,St. Louis,19,-1.5,+137,L by 1,-2.5
05/04,Away,St. Louis,19,-1.5,+108,L by 1,-2.5
05/05,Away,Arizona,8,+1.5,-192,W by 1,+2.5
05/06,Away,Arizona,8,+1.5,-202,L by 4,-2.5
05/07,Away,Arizona,8,-1.5,+142,W by 6,+4.5
05/09,Home,Chi Cubs,5,-1.5,+159,W by 5,+3.5
05/10,Home,Chi Cubs,5,-1.5,+127,L by 1,-2.5
05/11,Home,Chi Cubs,5,-1.5,+168,W by 4,+2.5
05/12,Home,Pittsburgh,24,-1.5,+140,W by 1,-0.5
05/13,Home,Pittsburgh,24,-1.5,-116,W by 1,-0.5
05/14,Home,Pittsburgh,24,-1.5,-124,L by 4,-5.5
05/16,Away,NY Yankees,2,+1.5,-158,L by 4,-2.5
05/17,Away,NY Yankees,2,+1.5,-163,W by 1,+2.5
05/18,Away,NY Yankees,2,+1.5,-134,L by 6,-4.5
05/19,Away,Boston,9,-1.5,+130,L by 2,-3.5
05/20,Away,Boston,9,-1.5,+127,L by 2,-3.5
05/21,Away,Boston,9,+1.5,-167,W by 4,+5.5
