# Data scraped on: 2025-05-22 19:44:08
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,3-0-0,100.0%,1.3,+2.8
With Rest Disadvantage,2-0-0,100.0%,3.5,+2.0
As Underdog,10-4-0,71.4%,-0.1,+1.4
After A Loss,13-7-0,65.0%,2.4,+1.8
As Away Underdog,7-4-0,63.6%,-0.5,+1.0
As Home Team,12-10-0,54.5%,1.5,+0.4
Division Games,7-6-0,53.8%,2.1,+1.0
No Rest,22-19-0,53.7%,1.2,+0.5
League Games,17-15-0,53.1%,1.6,+0.6
All Games,25-25-0,50.0%,1.1,+0.5
With Rest Advantage,1-1-0,50.0%,2.5,+1.0
Regular Season Games,25-25-0,50.0%,1.1,+0.5
Non-Division Games,18-19-0,48.6%,0.8,+0.3
With Equal Rest,22-24-0,47.8%,1.0,+0.4
As Home Favorite,9-10-0,47.4%,1.5,0.0
As Away Team,13-15-0,46.4%,0.8,+0.5
Non-League Games,8-10-0,44.4%,0.2,+0.2
1 Day Off,3-4-0,42.9%,1.6,+0.5
As Favorite,15-21-0,41.7%,1.6,+0.1
After A Win,12-17-0,41.4%,0.4,-0.4
As Away Favorite,6-11-0,35.3%,1.7,+0.2
4+ Days Off,0-1-0,0.0%,-2.0,-0.5
Second Game of Doubleheader,0-1-0,0.0%,-1.0,-2.5
