# Data scraped on: 2025-05-22 19:43:48
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
With Rest Disadvantage,2-0-0,100.0%,3.5,+2.0
As Home Favorite,15-4-0,78.9%,1.5,0.0
As Home Team,17-5-0,77.3%,1.5,+0.4
After A Loss,14-6-0,70.0%,2.4,+1.8
Division Games,9-4-0,69.2%,2.1,+1.0
As Home Underdog,2-1-0,66.7%,1.3,+2.8
League Games,21-11-0,65.6%,1.6,+0.6
As Favorite,23-13-0,63.9%,1.6,+0.1
No Rest,26-15-0,63.4%,1.2,+0.5
All Games,30-20-0,60.0%,1.1,+0.5
Regular Season Games,30-20-0,60.0%,1.1,+0.5
With Equal Rest,27-19-0,58.7%,1.0,+0.4
1 Day Off,4-3-0,57.1%,1.6,+0.5
Non-Division Games,21-16-0,56.8%,0.8,+0.3
After A Win,16-13-0,55.2%,0.4,-0.4
As Underdog,7-7-0,50.0%,-0.1,+1.4
Non-League Games,9-9-0,50.0%,0.2,+0.2
With Rest Advantage,1-1-0,50.0%,2.5,+1.0
As Away Favorite,8-9-0,47.1%,1.7,+0.2
As Away Team,13-15-0,46.4%,0.8,+0.5
As Away Underdog,5-6-0,45.5%,-0.5,+1.0
4+ Days Off,0-1-0,0.0%,-2.0,-0.5
Second Game of Doubleheader,0-1-0,0.0%,-1.0,-2.5
