# Data scraped on: 2025-05-22 19:44:39
Date,Opponent,Opp Rank,H/A/N,Score
03/27,Milwaukee,18,Home,W 4-2
03/29,Milwaukee,18,Home,W 20-9
03/30,Milwaukee,18,Home,W 12-3
04/01,Arizona,8,Home,L 5-7
04/02,Arizona,8,Home,L 3-4
04/03,Arizona,8,Home,W 9-7
04/04,at Pittsburgh,24,Away,W 9-4
04/05,at Pittsburgh,24,Away,W 10-4
04/06,at Pittsburgh,24,Away,L 4-5
04/07,at Detroit,7,Away,L 2-6
04/08,at Detroit,7,Away,L 0-5
04/09,at Detroit,7,Away,W 4-3
04/11,SF Giants,15,Home,L 1-9
04/12,SF Giants,15,Home,W 8-4
04/13,SF Giants,15,Home,L 4-5
04/14,Kansas City,20,Home,W 4-1
04/15,Kansas City,20,Home,W 4-2
04/16,Kansas City,20,Home,W 4-3
04/17,at Tampa Bay,17,Away,W 6-3
04/18,at Tampa Bay,17,Away,W 1-0
04/19,at Tampa Bay,17,Away,L 8-10
04/20,at Tampa Bay,17,Away,W 4-0
04/21,at Cleveland,23,Away,L 4-6
04/22,at Cleveland,23,Away,L 2-3
04/23,at Cleveland,23,Away,W 5-1
04/25,Toronto,21,Home,L 2-4
04/27,Toronto,21,Home,W 11-2
04/27,Toronto,21,Home,W 5-1
04/28,at Baltimore,22,Away,L 3-4
04/29,at Baltimore,22,Away,W 15-3
04/30,at Baltimore,22,Away,L 4-5
05/02,Tampa Bay,17,Home,W 3-0
05/03,Tampa Bay,17,Home,L 2-3
05/04,Tampa Bay,17,Home,L 5-7
05/05,San Diego,10,Home,L 3-4
05/06,San Diego,10,Home,W 12-3
05/07,San Diego,10,Home,W 4-3
05/09,at Sacramento,27,Away,W 10-2
05/10,at Sacramento,27,Away,L 7-11
05/11,at Sacramento,27,Away,W 12-2
05/12,at Seattle,13,Away,W 11-5
05/13,at Seattle,13,Away,L 1-2
05/14,at Seattle,13,Away,W 3-2
05/16,NY Mets,3,Home,W 6-2
05/17,NY Mets,3,Home,L 2-3
05/18,NY Mets,3,Home,W 8-2
05/20,Texas,14,Home,W 5-2
05/21,Texas,14,Home,W 4-3
05/22,Texas,14,Home,W 1-0
