# Data scraped on: 2025-05-22 19:44:23
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Milwaukee,18,8.0,4-2,Under,-2.0
03/29,Home,Milwaukee,18,9.0,20-9,Over,+20.0
03/30,Home,Milwaukee,18,8.5,12-3,Over,+6.5
04/01,Home,Arizona,8,8.5,5-7,Over,+3.5
04/02,Home,Arizona,8,8.0,3-4,Under,-1.0
04/03,Home,Arizona,8,9.5,9-7,Over,+6.5
04/04,Away,Pittsburgh,24,7.5,9-4,Over,+5.5
04/05,Away,Pittsburgh,24,9.5,10-4,Over,+4.5
04/06,Away,Pittsburgh,24,8.5,4-5,Over,+0.5
04/07,Away,Detroit,7,8.5,2-6,Under,-0.5
04/08,Away,Detroit,7,7.5,0-5,Under,-2.5
04/09,Away,Detroit,7,7.0,4-3,Push,0.0
04/11,Home,SF Giants,15,8.0,1-9,Over,+2.0
04/12,Home,SF Giants,15,8.0,8-4,Over,+4.0
04/13,Home,SF Giants,15,8.0,4-5,Over,+1.0
04/14,Home,Kansas City,20,9.0,4-1,Under,-4.0
04/15,Home,Kansas City,20,8.5,4-2,Under,-2.5
04/16,Home,Kansas City,20,8.0,4-3,Under,-1.0
04/17,Away,Tampa Bay,17,9.0,6-3,Push,0.0
04/18,Away,Tampa Bay,17,8.0,1-0,Under,-7.0
04/19,Away,Tampa Bay,17,8.5,8-10,Over,+9.5
04/20,Away,Tampa Bay,17,8.0,4-0,Under,-4.0
04/21,Away,Cleveland,23,8.5,4-6,Over,+1.5
04/22,Away,Cleveland,23,8.5,2-3,Under,-3.5
04/23,Away,Cleveland,23,8.5,5-1,Under,-2.5
04/25,Home,Toronto,21,9.0,2-4,Under,-3.0
04/27,Home,Toronto,21,8.0,11-2,Over,+5.0
04/27,Home,Toronto,21,8.5,5-1,Under,-2.5
04/28,Away,Baltimore,22,9.5,3-4,Under,-2.5
04/29,Away,Baltimore,22,9.5,15-3,Over,+8.5
04/30,Away,Baltimore,22,9.5,4-5,Under,-0.5
05/02,Home,Tampa Bay,17,8.5,3-0,Under,-5.5
05/03,Home,Tampa Bay,17,9.5,2-3,Under,-4.5
05/04,Home,Tampa Bay,17,9.0,5-7,Over,+3.0
05/05,Home,San Diego,10,7.5,3-4,Under,-0.5
05/06,Home,San Diego,10,8.0,12-3,Over,+7.0
05/07,Home,San Diego,10,8.0,4-3,Under,-1.0
05/09,Away,Sacramento,27,11.0,10-2,Over,+1.0
05/10,Away,Sacramento,27,10.0,7-11,Over,+8.0
05/11,Away,Sacramento,27,11.0,12-2,Over,+3.0
05/12,Away,Seattle,13,8.0,11-5,Over,+8.0
05/13,Away,Seattle,13,7.5,1-2,Under,-4.5
05/14,Away,Seattle,13,8.0,3-2,Under,-3.0
05/16,Home,NY Mets,3,9.0,6-2,Under,-1.0
05/17,Home,NY Mets,3,10.0,2-3,Under,-5.0
05/18,Home,NY Mets,3,9.0,8-2,Over,+1.0
05/20,Home,Texas,14,9.0,5-2,Under,-2.0
05/21,Home,Texas,14,7.5,4-3,Under,-0.5
05/22,Home,Texas,14,7.0,1-0,Under,-6.0
