# Data scraped on: 2025-05-22 19:44:14
Trend,Over Record,Over %,Under %,Total +/-
As Home Underdog,1-0-0,100.0%,0.0%,+3.5
With Rest Disadvantage,1-0-0,100.0%,0.0%,+5.5
Non-League Games,12-6-0,66.7%,33.3%,+2.9
1 Day Off,5-4-0,55.6%,44.4%,+2.2
As Away Favorite,9-8-2,52.9%,47.1%,+0.7
As Away Team,10-10-2,50.0%,50.0%,+0.9
As Underdog,2-2-0,50.0%,50.0%,+2.5
Non-Division Games,17-18-1,48.6%,51.4%,+1.1
After A Win,13-15-1,46.4%,53.6%,+1.0
All Games,21-26-2,44.7%,55.3%,+0.8
Regular Season Games,21-26-2,44.7%,55.3%,+0.8
After A Loss,8-10-1,44.4%,55.6%,+0.6
No Rest,16-20-2,44.4%,55.6%,+0.6
With Equal Rest,20-25-2,44.4%,55.6%,+0.8
As Favorite,19-24-2,44.2%,55.8%,+0.6
As Home Team,11-16-0,40.7%,59.3%,+0.6
As Home Favorite,10-16-0,38.5%,61.5%,+0.5
As Away Underdog,1-2-0,33.3%,66.7%,+2.2
Division Games,4-8-1,33.3%,66.7%,-0.3
League Games,9-20-2,31.0%,69.0%,-0.5
4+ Days Off,0-1-0,0.0%,100.0%,-2.0
Second Game of Doubleheader,0-1-0,0.0%,100.0%,-2.5
With Rest Advantage,0-1-0,0.0%,100.0%,-5.5
