# Data scraped on: 2025-05-22 19:44:47
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+0.5
Second Game of Doubleheader,1-0-0,100.0%,4.0,+2.5
With Rest Advantage,1-0-0,100.0%,3.0,+1.5
With Rest Disadvantage,1-0-0,100.0%,5.0,+3.5
1 Day Off,6-3-0,66.7%,2.9,+1.7
After A Loss,11-8-0,57.9%,2.8,+1.5
Non-League Games,10-8-0,55.6%,2.4,+1.1
As Home Favorite,14-12-0,53.8%,2.2,+0.7
Division Games,7-6-0,53.8%,2.1,+1.0
As Home Team,14-13-0,51.9%,2.1,+0.7
As Favorite,23-22-0,51.1%,2.3,+0.8
All Games,24-25-0,49.0%,1.9,+0.7
Regular Season Games,24-25-0,49.0%,1.9,+0.7
As Away Favorite,9-10-0,47.4%,2.5,+1.0
Non-Division Games,17-19-0,47.2%,1.9,+0.6
With Equal Rest,22-25-0,46.8%,1.9,+0.6
As Away Team,10-12-0,45.5%,1.8,+0.7
League Games,14-17-0,45.2%,1.6,+0.4
No Rest,16-22-0,42.1%,1.7,+0.4
After A Win,12-17-0,41.4%,1.3,+0.2
As Away Underdog,1-2-0,33.3%,-2.7,-1.2
As Underdog,1-3-0,25.0%,-2.5,-1.0
As Home Underdog,0-1-0,0.0%,-2.0,-0.5
