# Data scraped on: 2025-05-22 19:44:18
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+0.5
Second Game of Doubleheader,1-0-0,100.0%,4.0,+2.5
With Rest Advantage,1-0-0,100.0%,3.0,+1.5
With Rest Disadvantage,1-0-0,100.0%,5.0,+3.5
As Home Favorite,18-8-0,69.2%,2.2,+0.7
After A Loss,13-6-0,68.4%,2.8,+1.5
As Home Team,18-9-0,66.7%,2.1,+0.7
As Favorite,30-15-0,66.7%,2.3,+0.8
1 Day Off,6-3-0,66.7%,2.9,+1.7
Non-Division Games,23-13-0,63.9%,1.9,+0.6
As Away Favorite,12-7-0,63.2%,2.5,+1.0
League Games,19-12-0,61.3%,1.6,+0.4
All Games,30-19-0,61.2%,1.9,+0.7
Regular Season Games,30-19-0,61.2%,1.9,+0.7
Non-League Games,11-7-0,61.1%,2.4,+1.1
With Equal Rest,28-19-0,59.6%,1.9,+0.6
No Rest,22-16-0,57.9%,1.7,+0.4
After A Win,16-13-0,55.2%,1.3,+0.2
As Away Team,12-10-0,54.5%,1.8,+0.7
Division Games,7-6-0,53.8%,2.1,+1.0
As Underdog,0-4-0,0.0%,-2.5,-1.0
As Home Underdog,0-1-0,0.0%,-2.0,-0.5
As Away Underdog,0-3-0,0.0%,-2.7,-1.2
