# Data scraped on: 2025-05-22 19:45:41
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Washington,25,Away,W 7-3
03/29,at Washington,25,Away,W 11-6
03/30,at Washington,25,Away,L 1-5
03/31,Colorado,30,Home,W 6-1
04/02,Colorado,30,Home,W 5-1
04/03,Colorado,30,Home,W 3-1
04/04,LA Dodgers,1,Home,W 3-2
04/05,LA Dodgers,1,Home,L 1-3
04/06,LA Dodgers,1,Home,W 8-7
04/08,at Atlanta,4,Away,L 5-7
04/09,at Atlanta,4,Away,W 4-3
04/10,at Atlanta,4,Away,L 2-4
04/11,at St. Louis,19,Away,L 0-2
04/12,at St. Louis,19,Away,W 4-1
04/13,at St. Louis,19,Away,L 0-7
04/14,SF Giants,15,Home,L 4-10
04/15,SF Giants,15,Home,W 6-4
04/16,SF Giants,15,Home,L 4-11
04/17,SF Giants,15,Home,W 6-4
04/18,Miami,28,Home,W 7-2
04/19,Miami,28,Home,W 11-10
04/20,Miami,28,Home,L 5-7
04/21,at NY Mets,3,Away,L 4-5
04/22,at NY Mets,3,Away,L 1-5
04/23,at NY Mets,3,Away,L 3-4
04/25,at Chi Cubs,5,Away,L 0-4
04/26,at Chi Cubs,5,Away,W 10-4
04/27,at Chi Cubs,5,Away,W 3-1
04/29,Washington,25,Home,W 7-6
04/30,Washington,25,Home,W 7-2
05/01,Washington,25,Home,L 2-4
05/02,Arizona,8,Home,W 3-2
05/03,Arizona,8,Home,W 7-2
05/04,Arizona,8,Home,L 9-11
05/06,at Tampa Bay,17,Away,W 8-4
05/07,at Tampa Bay,17,Away,W 7-0
05/08,at Tampa Bay,17,Away,W 7-6
05/09,at Cleveland,23,Away,L 0-6
05/10,at Cleveland,23,Away,W 7-1
05/11,at Cleveland,23,Away,W 3-0
05/12,St. Louis,19,Home,L 2-3
05/14,St. Louis,19,Home,W 2-1
05/14,St. Louis,19,Home,L 7-14
05/16,Pittsburgh,24,Home,W 8-4
05/17,Pittsburgh,24,Home,W 5-2
05/18,Pittsburgh,24,Home,W 1-0
05/19,at Colorado,30,Away,W 9-3
05/20,at Colorado,30,Away,W 7-4
05/21,at Colorado,30,Away,W 9-5
05/22,at Colorado,30,Away,W 2-0
