# Data scraped on: 2025-05-22 19:45:19
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+3.0
Second Game of Doubleheader,1-0-0,100.0%,0.0%,+13.0
With Rest Advantage,1-0-0,100.0%,0.0%,+4.5
1 Day Off,5-3-0,62.5%,37.5%,+1.8
Division Games,9-6-0,60.0%,40.0%,+1.7
As Home Favorite,12-10-0,54.5%,45.5%,+1.5
As Home Team,13-12-0,52.0%,48.0%,+1.2
As Favorite,19-21-1,47.5%,52.5%,+0.8
After A Loss,8-9-1,47.1%,52.9%,+0.2
League Games,20-24-0,45.5%,54.5%,+0.5
With Equal Rest,20-24-1,45.5%,54.5%,+0.5
All Games,22-27-1,44.9%,55.1%,+0.5
Regular Season Games,22-27-1,44.9%,55.1%,+0.5
After A Win,13-18-0,41.9%,58.1%,+0.5
Non-League Games,2-3-1,40.0%,60.0%,+0.2
As Away Favorite,7-11-1,38.9%,61.1%,0.0
No Rest,15-24-1,38.5%,61.5%,-0.2
Non-Division Games,13-21-1,38.2%,61.8%,-0.1
As Away Team,9-15-1,37.5%,62.5%,-0.2
As Underdog,3-6-0,33.3%,66.7%,-0.9
As Home Underdog,1-2-0,33.3%,66.7%,-1.0
As Away Underdog,2-4-0,33.3%,66.7%,-0.8
With Rest Disadvantage,1-3-0,25.0%,75.0%,-1.3
