# Data scraped on: 2025-05-22 19:45:34
Date,H/A/N,Opponent,Opp Rank,PHI Line,PHI Odds,Result,Diff
03/27,Away,Washington,25,-1.5,+117,W by 4,+2.5
03/29,Away,Washington,25,-1.5,+110,W by 5,+3.5
03/30,Away,Washington,25,-1.5,+117,L by 4,-5.5
03/31,Home,Colorado,30,-1.5,-148,W by 5,+3.5
04/02,Home,Colorado,30,-1.5,-130,W by 4,+2.5
04/03,Home,Colorado,30,-1.5,-113,W by 2,+0.5
04/04,Home,LA Dodgers,1,+1.5,-145,W by 1,+2.5
04/05,Home,LA Dodgers,1,-1.5,+187,L by 2,-3.5
04/06,Home,LA Dodgers,1,+1.5,-155,W by 1,+2.5
04/08,Away,Atlanta,4,+1.5,-220,L by 2,-0.5
04/09,Away,Atlanta,4,+1.5,-157,W by 1,+2.5
04/10,Away,Atlanta,4,+1.5,-173,L by 2,-0.5
04/11,Away,St. Louis,19,-1.5,+155,L by 2,-3.5
04/12,Away,St. Louis,19,-1.5,-101,W by 3,+1.5
04/13,Away,St. Louis,19,-1.5,+109,L by 7,-8.5
04/14,Home,SF Giants,15,-1.5,+177,L by 6,-7.5
04/15,Home,SF Giants,15,-1.5,+136,W by 2,+0.5
04/16,Home,SF Giants,15,-1.5,+148,L by 7,-8.5
04/17,Home,SF Giants,15,-1.5,+105,W by 2,+0.5
04/18,Home,Miami,28,-1.5,-111,W by 5,+3.5
04/19,Home,Miami,28,-1.5,-115,W by 1,-0.5
04/20,Home,Miami,28,-1.5,-148,L by 2,-3.5
04/21,Away,NY Mets,3,+1.5,-185,L by 1,+0.5
04/22,Away,NY Mets,3,-1.5,+134,L by 4,-5.5
04/23,Away,NY Mets,3,-1.5,+145,L by 1,-2.5
04/25,Away,Chi Cubs,5,+1.5,-155,L by 4,-2.5
04/26,Away,Chi Cubs,5,-1.5,+159,W by 6,+4.5
04/27,Away,Chi Cubs,5,+1.5,-192,W by 2,+3.5
04/29,Home,Washington,25,-1.5,+114,W by 1,-0.5
04/30,Home,Washington,25,-1.5,-115,W by 5,+3.5
05/01,Home,Washington,25,-1.5,+111,L by 2,-3.5
05/02,Home,Arizona,8,-1.5,+134,W by 1,-0.5
05/03,Home,Arizona,8,-1.5,+161,W by 5,+3.5
05/04,Home,Arizona,8,-1.5,+140,L by 2,-3.5
05/06,Away,Tampa Bay,17,-1.5,+136,W by 4,+2.5
05/07,Away,Tampa Bay,17,-1.5,+103,W by 7,+5.5
05/08,Away,Tampa Bay,17,-1.5,+105,W by 1,-0.5
05/09,Away,Cleveland,23,-1.5,+145,L by 6,-7.5
05/10,Away,Cleveland,23,-1.5,+137,W by 6,+4.5
05/11,Away,Cleveland,23,-1.5,+103,W by 3,+1.5
05/12,Home,St. Louis,19,-1.5,+122,L by 1,-2.5
05/14,Home,St. Louis,19,-1.5,+112,W by 1,-0.5
05/14,Home,St. Louis,19,-1.5,+160,L by 7,-8.5
05/16,Home,Pittsburgh,24,-1.5,-111,W by 4,+2.5
05/17,Home,Pittsburgh,24,-1.5,-157,W by 3,+1.5
05/18,Home,Pittsburgh,24,+1.5,-166,W by 1,+2.5
05/19,Away,Colorado,30,-1.5,-168,W by 6,+4.5
05/20,Away,Colorado,30,-1.5,-184,W by 3,+1.5
05/21,Away,Colorado,30,-1.5,-126,W by 4,+2.5
05/22,Away,Colorado,30,-1.5,-192,W by 2,+0.5
