# Data scraped on: 2025-05-22 19:45:45
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,3-0-0,100.0%,1.0,+2.5
4+ Days Off,1-0-0,100.0%,4.0,+2.5
As Underdog,6-3-0,66.7%,-0.3,+1.2
Non-League Games,4-2-0,66.7%,2.5,+1.0
As Away Favorite,12-7-0,63.2%,1.6,+0.1
Non-Division Games,22-13-0,62.9%,1.0,-0.1
After A Loss,11-7-0,61.1%,1.0,+0.2
As Away Team,15-10-0,60.0%,1.0,+0.2
With Equal Rest,27-18-0,60.0%,1.0,0.0
No Rest,23-17-0,57.5%,0.7,-0.3
All Games,28-22-0,56.0%,0.8,-0.2
Regular Season Games,28-22-0,56.0%,0.8,-0.2
League Games,24-20-0,54.5%,0.5,-0.3
As Favorite,22-19-0,53.7%,1.0,-0.5
As Home Team,13-12-0,52.0%,0.6,-0.5
After A Win,16-15-0,51.6%,0.5,-0.5
As Away Underdog,3-3-0,50.0%,-1.0,+0.5
1 Day Off,4-4-0,50.0%,1.6,+0.9
As Home Favorite,10-12-0,45.5%,0.5,-1.0
Division Games,6-9-0,40.0%,0.3,-0.4
With Rest Disadvantage,1-3-0,25.0%,-2.3,-2.3
Second Game of Doubleheader,0-1-0,0.0%,-7.0,-8.5
With Rest Advantage,0-1-0,0.0%,1.0,-0.5
