# Data scraped on: 2025-05-22 19:45:23
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Home Underdog,3-0-0,100.0%,1.0,+2.5
4+ Days Off,1-0-0,100.0%,4.0,+2.5
With Rest Advantage,1-0-0,100.0%,1.0,-0.5
Non-League Games,5-1-0,83.3%,2.5,+1.0
1 Day Off,6-2-0,75.0%,1.6,+0.9
Non-Division Games,25-10-0,71.4%,1.0,-0.1
As Away Favorite,13-6-0,68.4%,1.6,+0.1
As Home Team,17-8-0,68.0%,0.6,-0.5
After A Loss,12-6-0,66.7%,1.0,+0.2
With Equal Rest,30-15-0,66.7%,1.0,0.0
As Favorite,27-14-0,65.9%,1.0,-0.5
All Games,32-18-0,64.0%,0.8,-0.2
Regular Season Games,32-18-0,64.0%,0.8,-0.2
As Home Favorite,14-8-0,63.6%,0.5,-1.0
No Rest,25-15-0,62.5%,0.7,-0.3
League Games,27-17-0,61.4%,0.5,-0.3
After A Win,19-12-0,61.3%,0.5,-0.5
As Away Team,15-10-0,60.0%,1.0,+0.2
As Underdog,5-4-0,55.6%,-0.3,+1.2
Division Games,7-8-0,46.7%,0.3,-0.4
As Away Underdog,2-4-0,33.3%,-1.0,+0.5
With Rest Disadvantage,1-3-0,25.0%,-2.3,-2.3
Second Game of Doubleheader,0-1-0,0.0%,-7.0,-8.5
