# Data scraped on: 2025-05-22 19:46:26
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Miami,28,Away,L 4-5
03/28,at Miami,28,Away,W 4-3
03/29,at Miami,28,Away,L 4-5
03/30,at Miami,28,Away,L 2-3
03/31,at Tampa Bay,17,Away,L 1-6
04/01,at Tampa Bay,17,Away,L 0-7
04/02,at Tampa Bay,17,Away,W 4-2
04/04,NY Yankees,2,Home,L 4-9
04/05,NY Yankees,2,Home,L 4-10
04/06,NY Yankees,2,Home,W 5-4
04/07,St. Louis,19,Home,W 8-4
04/08,St. Louis,19,Home,L 3-5
04/09,St. Louis,19,Home,W 2-1
04/11,at Cincinnati,16,Away,L 3-5
04/12,at Cincinnati,16,Away,L 2-5
04/13,at Cincinnati,16,Away,L 0-4
04/14,Washington,25,Home,W 10-3
04/15,Washington,25,Home,L 0-3
04/16,Washington,25,Home,W 6-1
04/17,Washington,25,Home,W 1-0
04/18,Cleveland,23,Home,L 7-10
04/19,Cleveland,23,Home,L 0-3
04/20,Cleveland,23,Home,L 4-5
04/22,at LA Angels,26,Away,W 9-3
04/23,at LA Angels,26,Away,W 3-0
04/24,at LA Angels,26,Away,L 3-4
04/25,at LA Dodgers,1,Away,W 3-0
04/26,at LA Dodgers,1,Away,L 4-8
04/27,at LA Dodgers,1,Away,L 2-9
04/29,Chi Cubs,5,Home,L 0-9
04/30,Chi Cubs,5,Home,W 4-3
05/01,Chi Cubs,5,Home,L 3-8
05/02,San Diego,10,Home,L 4-9
05/03,San Diego,10,Home,L 1-2
05/04,San Diego,10,Home,L 0-4
05/05,at St. Louis,19,Away,L 3-6
05/06,at St. Louis,19,Away,L 1-2
05/07,at St. Louis,19,Away,L 0-5
05/09,Atlanta,4,Home,W 3-2
05/10,Atlanta,4,Home,L 2-3
05/11,Atlanta,4,Home,W 4-3
05/12,at NY Mets,3,Away,L 3-4
05/13,at NY Mets,3,Away,L 1-2
05/14,at NY Mets,3,Away,W 4-0
05/16,at Philadelphia,6,Away,L 4-8
05/17,at Philadelphia,6,Away,L 2-5
05/18,at Philadelphia,6,Away,L 0-1
05/19,Cincinnati,16,Home,L 1-7
05/20,Cincinnati,16,Home,W 1-0
05/21,Cincinnati,16,Home,W 3-1
