# Data scraped on: 2025-05-22 19:45:51
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
1 Day Off,4-1-1,80.0%,20.0%,+1.4
After A Win,8-6-2,57.1%,42.9%,0.0
As Home Underdog,7-7-1,50.0%,50.0%,+0.1
Non-League Games,6-6-0,50.0%,50.0%,+0.4
With Rest Advantage,1-1-0,50.0%,50.0%,+0.8
With Rest Disadvantage,1-1-0,50.0%,50.0%,+0.5
As Home Team,11-13-1,45.8%,54.2%,-0.7
As Home Favorite,4-6-0,40.0%,60.0%,-2.0
As Underdog,12-19-3,38.7%,61.3%,-0.6
Division Games,5-8-2,38.5%,61.5%,-1.2
All Games,18-29-3,38.3%,61.7%,-1.0
Regular Season Games,18-29-3,38.3%,61.7%,-1.0
Non-Division Games,13-21-1,38.2%,61.8%,-0.9
As Favorite,6-10-0,37.5%,62.5%,-1.9
With Equal Rest,16-27-3,37.2%,62.8%,-1.2
League Games,12-23-3,34.3%,65.7%,-1.5
As Away Favorite,2-4-0,33.3%,66.7%,-1.8
No Rest,13-28-2,31.7%,68.3%,-1.5
As Away Team,7-16-2,30.4%,69.6%,-1.3
As Away Underdog,5-12-2,29.4%,70.6%,-1.2
After A Loss,9-23-1,28.1%,71.9%,-1.6
