# Data scraped on: 2025-05-22 19:46:31
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,9-6-0,60.0%,-1.5,0.0
As Underdog,17-17-0,50.0%,-1.7,-0.2
With Rest Advantage,1-1-0,50.0%,-2.0,-0.5
With Rest Disadvantage,1-1-0,50.0%,-1.0,+0.5
As Home Team,11-14-0,44.0%,-1.2,-0.9
Non-Division Games,15-20-0,42.9%,-1.0,-0.6
After A Loss,14-19-0,42.4%,-1.3,-0.7
As Away Underdog,8-11-0,42.1%,-1.8,-0.3
No Rest,18-25-0,41.9%,-1.2,-0.7
Non-League Games,5-7-0,41.7%,-1.6,-0.8
All Games,20-30-0,40.0%,-1.3,-0.8
Regular Season Games,20-30-0,40.0%,-1.3,-0.8
League Games,15-23-0,39.5%,-1.2,-0.7
With Equal Rest,18-28-0,39.1%,-1.3,-0.8
After A Win,6-10-0,37.5%,-1.4,-0.8
As Away Team,9-16-0,36.0%,-1.4,-0.7
1 Day Off,2-4-0,33.3%,-2.2,-0.7
Division Games,5-10-0,33.3%,-2.1,-1.2
As Home Favorite,2-8-0,20.0%,-0.6,-2.1
As Favorite,3-13-0,18.8%,-0.4,-1.9
As Away Favorite,1-5-0,16.7%,-0.2,-1.7
4+ Days Off,0-1-0,0.0%,-1.0,-2.5
