# Data scraped on: 2025-05-22 19:45:57
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Home Underdog,8-7-0,53.3%,-1.5,0.0
With Rest Advantage,1-1-0,50.0%,-2.0,-0.5
With Rest Disadvantage,1-1-0,50.0%,-1.0,+0.5
As Home Team,11-14-0,44.0%,-1.2,-0.9
After A Loss,13-20-0,39.4%,-1.3,-0.7
As Underdog,12-22-0,35.3%,-1.7,-0.2
No Rest,15-28-0,34.9%,-1.2,-0.7
Non-Division Games,12-23-0,34.3%,-1.0,-0.6
League Games,13-25-0,34.2%,-1.2,-0.7
All Games,17-33-0,34.0%,-1.3,-0.8
Regular Season Games,17-33-0,34.0%,-1.3,-0.8
As Away Favorite,2-4-0,33.3%,-0.2,-1.7
1 Day Off,2-4-0,33.3%,-2.2,-0.7
Division Games,5-10-0,33.3%,-2.1,-1.2
Non-League Games,4-8-0,33.3%,-1.6,-0.8
With Equal Rest,15-31-0,32.6%,-1.3,-0.8
As Favorite,5-11-0,31.3%,-0.4,-1.9
As Home Favorite,3-7-0,30.0%,-0.6,-2.1
After A Win,4-12-0,25.0%,-1.4,-0.8
As Away Team,6-19-0,24.0%,-1.4,-0.7
As Away Underdog,4-15-0,21.1%,-1.8,-0.3
4+ Days Off,0-1-0,0.0%,-1.0,-2.5
