# Data scraped on: 2025-05-22 19:46:57
Date,Opponent,Opp Rank,H/A/N,Score
03/27,Atlanta,4,Home,W 7-4
03/28,Atlanta,4,Home,W 4-3
03/29,Atlanta,4,Home,W 1-0
03/30,Atlanta,4,Home,W 5-0
03/31,Cleveland,23,Home,W 7-2
04/01,Cleveland,23,Home,W 7-0
04/02,Cleveland,23,Home,W 5-2
04/04,at Chi Cubs,5,Away,L 1-3
04/05,at Chi Cubs,5,Away,L 1-7
04/06,at Chi Cubs,5,Away,W 8-7
04/07,at Sacramento,27,Away,W 5-4
04/08,at Sacramento,27,Away,L 4-10
04/09,at Sacramento,27,Away,W 2-1
04/11,Colorado,30,Home,W 8-0
04/12,Colorado,30,Home,W 2-0
04/13,Colorado,30,Home,W 6-0
04/14,Chi Cubs,5,Home,W 10-4
04/15,Chi Cubs,5,Home,L 1-2
04/16,Chi Cubs,5,Home,W 4-2
04/18,at Houston,11,Away,L 4-6
04/19,at Houston,11,Away,L 2-3
04/20,at Houston,11,Away,W 3-2
04/21,at Detroit,7,Away,L 4-6
04/22,at Detroit,7,Away,W 2-0
04/23,at Detroit,7,Away,L 0-6
04/25,Tampa Bay,17,Home,L 0-1
04/26,Tampa Bay,17,Home,L 1-4
04/27,Tampa Bay,17,Home,L 2-4
04/29,SF Giants,15,Home,W 7-4
04/30,SF Giants,15,Home,W 5-3
05/02,at Pittsburgh,24,Away,W 9-4
05/03,at Pittsburgh,24,Away,W 2-1
05/04,at Pittsburgh,24,Away,W 4-0
05/05,at NY Yankees,2,Away,W 4-3
05/06,at NY Yankees,2,Away,L 3-12
05/07,at NY Yankees,2,Away,L 3-4
05/09,at Colorado,30,Away,W 13-9
05/10,at Colorado,30,Away,W 21-0
05/11,at Colorado,30,Away,L 3-9
05/12,LA Angels,26,Home,L 5-9
05/13,LA Angels,26,Home,W 6-4
05/14,LA Angels,26,Home,W 5-1
05/16,Seattle,13,Home,L 1-5
05/17,Seattle,13,Home,L 1-4
05/18,Seattle,13,Home,L 1-6
05/20,at Toronto,21,Away,L 0-3
05/21,at Toronto,21,Away,L 0-14
05/22,at Toronto,21,Away,L 6-7
