# Data scraped on: 2025-05-22 19:46:46
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Atlanta,4,7.0,7-4,Over,+4.0
03/28,Home,Atlanta,4,7.0,4-3,Push,0.0
03/29,Home,Atlanta,4,8.0,1-0,Under,-7.0
03/30,Home,Atlanta,4,8.0,5-0,Under,-3.0
03/31,Home,Cleveland,23,7.5,7-2,Over,+1.5
04/01,Home,Cleveland,23,7.5,7-0,Under,-0.5
04/02,Home,Cleveland,23,7.5,5-2,Under,-0.5
04/04,Away,Chi Cubs,5,7.0,1-3,Under,-3.0
04/05,Away,Chi Cubs,5,6.5,1-7,Over,+1.5
04/06,Away,Chi Cubs,5,7.5,8-7,Over,+7.5
04/07,Away,Sacramento,27,8.5,5-4,Over,+0.5
04/08,Away,Sacramento,27,8.0,4-10,Over,+6.0
04/09,Away,Sacramento,27,10.0,2-1,Under,-7.0
04/11,Home,Colorado,30,7.5,8-0,Over,+0.5
04/12,Home,Colorado,30,8.0,2-0,Under,-6.0
04/13,Home,Colorado,30,7.0,6-0,Under,-1.0
04/14,Home,Chi Cubs,5,7.5,10-4,Over,+6.5
04/15,Home,Chi Cubs,5,8.5,1-2,Under,-5.5
04/16,Home,Chi Cubs,5,7.5,4-2,Under,-1.5
04/18,Away,Houston,11,9.0,4-6,Over,+1.0
04/19,Away,Houston,11,7.5,2-3,Under,-2.5
04/20,Away,Houston,11,7.5,3-2,Under,-2.5
04/21,Away,Detroit,7,8.5,4-6,Over,+1.5
04/22,Away,Detroit,7,7.0,2-0,Under,-5.0
04/23,Away,Detroit,7,8.5,0-6,Under,-2.5
04/25,Home,Tampa Bay,17,7.0,0-1,Under,-6.0
04/26,Home,Tampa Bay,17,7.0,1-4,Under,-2.0
04/27,Home,Tampa Bay,17,8.5,2-4,Under,-2.5
04/29,Home,SF Giants,15,7.0,7-4,Over,+4.0
04/30,Home,SF Giants,15,7.0,5-3,Over,+1.0
05/02,Away,Pittsburgh,24,8.0,9-4,Over,+5.0
05/03,Away,Pittsburgh,24,9.5,2-1,Under,-6.5
05/04,Away,Pittsburgh,24,9.0,4-0,Under,-5.0
05/05,Away,NY Yankees,2,7.5,4-3,Under,-0.5
05/06,Away,NY Yankees,2,8.0,3-12,Over,+7.0
05/07,Away,NY Yankees,2,8.0,3-4,Under,-1.0
05/09,Away,Colorado,30,11.5,13-9,Over,+10.5
05/10,Away,Colorado,30,12.0,21-0,Over,+9.0
05/11,Away,Colorado,30,11.5,3-9,Over,+0.5
05/12,Home,LA Angels,26,7.0,5-9,Over,+7.0
05/13,Home,LA Angels,26,7.5,6-4,Over,+2.5
05/14,Home,LA Angels,26,8.5,5-1,Under,-2.5
05/16,Home,Seattle,13,8.5,1-5,Under,-2.5
05/17,Home,Seattle,13,8.5,1-4,Under,-3.5
05/18,Home,Seattle,13,7.5,1-6,Under,-0.5
05/20,Away,Toronto,21,7.5,0-3,Under,-4.5
05/21,Away,Toronto,21,9.0,0-14,Over,+5.0
05/22,Away,Toronto,21,8.5,6-7,Over,+4.5
