# Data scraped on: 2025-05-22 19:46:36
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+4.0
As Away Favorite,7-2-0,77.8%,22.2%,+3.2
Division Games,6-2-0,75.0%,25.0%,+2.3
With Rest Advantage,3-1-0,75.0%,25.0%,+2.5
1 Day Off,5-4-0,55.6%,44.4%,+0.6
League Games,11-9-1,55.0%,45.0%,+0.5
As Away Team,13-11-0,54.2%,45.8%,+0.8
As Favorite,13-14-1,48.1%,51.9%,+0.7
After A Win,12-14-1,46.2%,53.8%,-0.2
All Games,21-26-1,44.7%,55.3%,0.0
Regular Season Games,21-26-1,44.7%,55.3%,0.0
With Equal Rest,18-25-1,41.9%,58.1%,-0.2
No Rest,15-22-1,40.5%,59.5%,-0.2
After A Loss,8-12-0,40.0%,60.0%,+0.2
As Underdog,8-12-0,40.0%,60.0%,-0.8
As Home Underdog,2-3-0,40.0%,60.0%,-1.4
As Away Underdog,6-9-0,40.0%,60.0%,-0.6
Non-Division Games,15-24-1,38.5%,61.5%,-0.4
Non-League Games,10-17-0,37.0%,63.0%,-0.4
As Home Team,8-15-1,34.8%,65.2%,-0.7
As Home Favorite,6-12-1,33.3%,66.7%,-0.6
