# Data scraped on: 2025-05-22 19:46:52
Date,H/A/N,Opponent,Opp Rank,SD Line,SD Odds,Result,Diff
03/27,Home,Atlanta,4,+1.5,-172,W by 3,+4.5
03/28,Home,Atlanta,4,-1.5,+160,W by 1,-0.5
03/29,Home,Atlanta,4,+1.5,-130,W by 1,+2.5
03/30,Home,Atlanta,4,-1.5,+164,W by 5,+3.5
03/31,Home,Cleveland,23,-1.5,+160,W by 5,+3.5
04/01,Home,Cleveland,23,-1.5,+124,W by 7,+5.5
04/02,Home,Cleveland,23,-1.5,+120,W by 3,+1.5
04/04,Away,Chi Cubs,5,+1.5,-151,L by 2,-0.5
04/05,Away,Chi Cubs,5,+1.5,-222,L by 6,-4.5
04/06,Away,Chi Cubs,5,+1.5,-176,W by 1,+2.5
04/07,Away,Sacramento,27,-1.5,+105,W by 1,-0.5
04/08,Away,Sacramento,27,-1.5,+130,L by 6,-7.5
04/09,Away,Sacramento,27,+1.5,-170,W by 1,+2.5
04/11,Home,Colorado,30,-1.5,+100,W by 8,+6.5
04/12,Home,Colorado,30,-1.5,+125,W by 2,+0.5
04/13,Home,Colorado,30,-1.5,-105,W by 6,+4.5
04/14,Home,Chi Cubs,5,-1.5,+150,W by 6,+4.5
04/15,Home,Chi Cubs,5,+1.5,-135,L by 1,+0.5
04/16,Home,Chi Cubs,5,-1.5,+195,W by 2,+0.5
04/18,Away,Houston,11,+1.5,-144,L by 2,-0.5
04/19,Away,Houston,11,-1.5,+135,L by 1,-2.5
04/20,Away,Houston,11,+1.5,-197,W by 1,+2.5
04/21,Away,Detroit,7,+1.5,-167,L by 2,-0.5
04/22,Away,Detroit,7,+1.5,-190,W by 2,+3.5
04/23,Away,Detroit,7,+1.5,-143,L by 6,-4.5
04/25,Home,Tampa Bay,17,-1.5,+154,L by 1,-2.5
04/26,Home,Tampa Bay,17,-1.5,+160,L by 3,-4.5
04/27,Home,Tampa Bay,17,+1.5,-167,L by 2,-0.5
04/29,Home,SF Giants,15,+1.5,-175,W by 3,+4.5
04/30,Home,SF Giants,15,-1.5,+168,W by 2,+0.5
05/02,Away,Pittsburgh,24,-1.5,+125,W by 5,+3.5
05/03,Away,Pittsburgh,24,+1.5,-193,W by 1,+2.5
05/04,Away,Pittsburgh,24,+1.5,-219,W by 4,+5.5
05/05,Away,NY Yankees,2,+1.5,-154,W by 1,+2.5
05/06,Away,NY Yankees,2,+1.5,-191,L by 9,-7.5
05/07,Away,NY Yankees,2,+1.5,-136,L by 1,+0.5
05/09,Away,Colorado,30,-1.5,-130,W by 4,+2.5
05/10,Away,Colorado,30,-1.5,-156,W by 21,+19.5
05/11,Away,Colorado,30,-1.5,-210,L by 6,-7.5
05/12,Home,LA Angels,26,-1.5,-113,L by 4,-5.5
05/13,Home,LA Angels,26,-1.5,-107,W by 2,+0.5
05/14,Home,LA Angels,26,-1.5,-104,W by 4,+2.5
05/16,Home,Seattle,13,-1.5,+120,L by 4,-5.5
05/17,Home,Seattle,13,-1.5,-104,L by 3,-4.5
05/18,Home,Seattle,13,-1.5,+156,L by 5,-6.5
05/20,Away,Toronto,21,-1.5,+156,L by 3,-4.5
05/21,Away,Toronto,21,+1.5,-145,L by 14,-12.5
05/22,Away,Toronto,21,-1.5,+142,L by 1,-2.5
