# Data scraped on: 2025-05-22 19:47:01
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,3.0,+4.5
Division Games,7-1-0,87.5%,5.0,+3.9
League Games,17-4-0,81.0%,2.9,+2.6
As Home Underdog,4-1-0,80.0%,0.8,+2.3
With Rest Advantage,3-1-0,75.0%,4.0,+2.5
As Home Team,16-8-0,66.7%,1.5,+0.7
As Home Favorite,12-7-0,63.2%,1.7,+0.2
After A Win,17-10-0,63.0%,1.7,+1.3
As Underdog,12-8-0,60.0%,-1.4,+0.2
No Rest,22-16-0,57.9%,0.2,0.0
All Games,27-21-0,56.3%,0.4,+0.2
Regular Season Games,27-21-0,56.3%,0.4,+0.2
With Equal Rest,24-20-0,54.5%,0.1,0.0
As Favorite,15-13-0,53.6%,1.7,+0.2
As Away Underdog,8-7-0,53.3%,-2.1,-0.6
Non-Division Games,20-20-0,50.0%,-0.5,-0.6
As Away Team,11-13-0,45.8%,-0.7,-0.3
After A Loss,9-11-0,45.0%,-1.4,-1.6
1 Day Off,4-5-0,44.4%,0.9,+0.4
Non-League Games,10-17-0,37.0%,-1.5,-1.8
As Away Favorite,3-6-0,33.3%,1.6,+0.1
