# Data scraped on: 2025-05-22 19:46:41
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,3.0,+4.5
Division Games,7-1-0,87.5%,5.0,+3.9
League Games,17-4-0,81.0%,2.9,+2.6
With Rest Advantage,3-1-0,75.0%,4.0,+2.5
As Home Favorite,13-6-0,68.4%,1.7,+0.2
After A Win,18-9-0,66.7%,1.7,+1.3
As Home Team,16-8-0,66.7%,1.5,+0.7
As Favorite,17-11-0,60.7%,1.7,+0.2
As Home Underdog,3-2-0,60.0%,0.8,+2.3
No Rest,22-16-0,57.9%,0.2,0.0
All Games,27-21-0,56.3%,0.4,+0.2
Regular Season Games,27-21-0,56.3%,0.4,+0.2
With Equal Rest,24-20-0,54.5%,0.1,0.0
As Underdog,10-10-0,50.0%,-1.4,+0.2
Non-Division Games,20-20-0,50.0%,-0.5,-0.6
As Away Underdog,7-8-0,46.7%,-2.1,-0.6
As Away Team,11-13-0,45.8%,-0.7,-0.3
As Away Favorite,4-5-0,44.4%,1.6,+0.1
1 Day Off,4-5-0,44.4%,0.9,+0.4
After A Loss,8-12-0,40.0%,-1.4,-1.6
Non-League Games,10-17-0,37.0%,-1.5,-1.8
