# Data scraped on: 2025-05-22 19:47:27
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Cincinnati,16,Away,W 6-4
03/29,at Cincinnati,16,Away,L 2-3
03/30,at Cincinnati,16,Away,W 6-3
03/31,at Houston,11,Away,W 7-2
04/01,at Houston,11,Away,W 3-1
04/02,at Houston,11,Away,W 6-3
04/04,Seattle,13,Home,W 10-9
04/05,Seattle,13,Home,W 4-1
04/06,Seattle,13,Home,W 5-4
04/07,Cincinnati,16,Home,L 0-2
04/08,Cincinnati,16,Home,L 0-1
04/09,Cincinnati,16,Home,W 8-6
04/11,at NY Yankees,2,Away,W 9-1
04/12,at NY Yankees,2,Away,L 4-8
04/13,at NY Yankees,2,Away,W 5-4
04/14,at Philadelphia,6,Away,W 10-4
04/15,at Philadelphia,6,Away,L 4-6
04/16,at Philadelphia,6,Away,W 11-4
04/17,at Philadelphia,6,Away,L 4-6
04/18,at LA Angels,26,Away,L 0-2
04/19,at LA Angels,26,Away,W 3-2
04/20,at LA Angels,26,Away,L 4-5
04/21,Milwaukee,18,Home,W 5-2
04/22,Milwaukee,18,Home,L 3-11
04/23,Milwaukee,18,Home,W 4-2
04/24,Milwaukee,18,Home,W 6-5
04/25,Texas,14,Home,L 0-2
04/26,Texas,14,Home,W 3-2
04/27,Texas,14,Home,W 3-2
04/29,at San Diego,10,Away,L 4-7
04/30,at San Diego,10,Away,L 3-5
05/01,Colorado,30,Home,L 3-4
05/02,Colorado,30,Home,W 4-0
05/03,Colorado,30,Home,W 6-3
05/04,Colorado,30,Home,W 9-3
05/05,at Chi Cubs,5,Away,L 2-9
05/06,at Chi Cubs,5,Away,W 14-5
05/07,at Chi Cubs,5,Away,W 3-1
05/09,at Minnesota,12,Away,L 1-3
05/10,at Minnesota,12,Away,L 1-2
05/11,at Minnesota,12,Away,L 6-7
05/12,Arizona,8,Home,L 1-2
05/13,Arizona,8,Home,W 10-6
05/14,Arizona,8,Home,L 7-8
05/16,Sacramento,27,Home,W 9-1
05/17,Sacramento,27,Home,W 1-0
05/18,Sacramento,27,Home,W 3-2
05/19,Kansas City,20,Home,L 1-3
05/20,Kansas City,20,Home,W 3-2
05/21,Kansas City,20,Home,L 4-8
