# Data scraped on: 2025-05-22 19:47:17
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Away,Cincinnati,16,7.5,6-4,Over,+2.5
03/29,Away,Cincinnati,16,8.5,2-3,Under,-3.5
03/30,Away,Cincinnati,16,8.0,6-3,Over,+1.0
03/31,Away,Houston,11,8.0,7-2,Over,+1.0
04/01,Away,Houston,11,8.0,3-1,Under,-4.0
04/02,Away,Houston,11,7.5,6-3,Over,+1.5
04/04,Home,Seattle,13,8.0,10-9,Over,+11.0
04/05,Home,Seattle,13,7.5,4-1,Under,-2.5
04/06,Home,Seattle,13,7.5,5-4,Over,+1.5
04/07,Home,Cincinnati,16,6.5,0-2,Under,-4.5
04/08,Home,Cincinnati,16,7.5,0-1,Under,-6.5
04/09,Home,Cincinnati,16,7.5,8-6,Over,+6.5
04/11,Away,NY Yankees,2,8.0,9-1,Over,+2.0
04/12,Away,NY Yankees,2,8.0,4-8,Over,+4.0
04/13,Away,NY Yankees,2,8.0,5-4,Over,+1.0
04/14,Away,Philadelphia,6,9.0,10-4,Over,+5.0
04/15,Away,Philadelphia,6,8.0,4-6,Over,+2.0
04/16,Away,Philadelphia,6,8.0,11-4,Over,+7.0
04/17,Away,Philadelphia,6,8.0,4-6,Over,+2.0
04/18,Away,LA Angels,26,8.0,0-2,Under,-6.0
04/19,Away,LA Angels,26,9.0,3-2,Under,-4.0
04/20,Away,LA Angels,26,9.0,4-5,Push,0.0
04/21,Home,Milwaukee,18,8.0,5-2,Under,-1.0
04/22,Home,Milwaukee,18,8.0,3-11,Over,+6.0
04/23,Home,Milwaukee,18,6.5,4-2,Under,-0.5
04/24,Home,Milwaukee,18,7.5,6-5,Over,+3.5
04/25,Home,Texas,14,7.5,0-2,Under,-5.5
04/26,Home,Texas,14,8.0,3-2,Under,-3.0
04/27,Home,Texas,14,7.5,3-2,Under,-2.5
04/29,Away,San Diego,10,7.0,4-7,Over,+4.0
04/30,Away,San Diego,10,7.0,3-5,Over,+1.0
05/01,Home,Colorado,30,7.5,3-4,Under,-0.5
05/02,Home,Colorado,30,8.0,4-0,Under,-4.0
05/03,Home,Colorado,30,8.5,6-3,Over,+0.5
05/04,Home,Colorado,30,7.5,9-3,Over,+4.5
05/05,Away,Chi Cubs,5,7.5,2-9,Over,+3.5
05/06,Away,Chi Cubs,5,8.5,14-5,Over,+10.5
05/07,Away,Chi Cubs,5,7.5,3-1,Under,-3.5
05/09,Away,Minnesota,12,8.5,1-3,Under,-4.5
05/10,Away,Minnesota,12,7.0,1-2,Under,-4.0
05/11,Away,Minnesota,12,8.5,6-7,Over,+4.5
05/12,Home,Arizona,8,8.0,1-2,Under,-5.0
05/13,Home,Arizona,8,7.5,10-6,Over,+8.5
05/14,Home,Arizona,8,8.0,7-8,Over,+7.0
05/16,Home,Sacramento,27,7.0,9-1,Over,+3.0
05/17,Home,Sacramento,27,8.5,1-0,Under,-7.5
05/18,Home,Sacramento,27,9.0,3-2,Under,-4.0
05/19,Home,Kansas City,20,7.5,1-3,Under,-3.5
05/20,Home,Kansas City,20,7.5,3-2,Under,-2.5
05/21,Home,Kansas City,20,7.5,4-8,Over,+4.5
