# Data scraped on: 2025-05-22 19:47:06
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
With Rest Disadvantage,1-0-0,100.0%,0.0%,+1.0
As Away Underdog,14-3-0,82.4%,17.6%,+2.1
As Underdog,16-4-0,80.0%,20.0%,+2.4
As Away Team,16-7-1,69.6%,30.4%,+1.0
As Home Underdog,2-1-0,66.7%,33.3%,+3.5
1 Day Off,4-2-0,66.7%,33.3%,+2.0
Division Games,6-3-0,66.7%,33.3%,+1.8
League Games,17-9-0,65.4%,34.6%,+1.8
After A Win,17-11-1,60.7%,39.3%,+0.6
All Games,27-22-1,55.1%,44.9%,+0.5
Regular Season Games,27-22-1,55.1%,44.9%,+0.5
With Equal Rest,25-21-1,54.3%,45.7%,+0.6
Non-Division Games,21-19-1,52.5%,47.5%,+0.3
No Rest,22-20-1,52.4%,47.6%,+0.3
With Rest Advantage,1-1-0,50.0%,50.0%,-0.8
After A Loss,9-11-0,45.0%,55.0%,+0.3
Non-League Games,10-13-1,43.5%,56.5%,-0.8
As Home Team,11-15-0,42.3%,57.7%,+0.1
As Home Favorite,9-14-0,39.1%,60.9%,-0.3
As Favorite,11-18-1,37.9%,62.1%,-0.7
As Away Favorite,2-4-1,33.3%,66.7%,-1.9
