# Data scraped on: 2025-05-22 19:47:31
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,3-0-0,100.0%,0.7,+2.2
4+ Days Off,1-0-0,100.0%,2.0,+3.5
With Rest Disadvantage,1-0-0,100.0%,5.0,+6.5
As Underdog,15-5-0,75.0%,1.3,+2.8
As Away Underdog,12-5-0,70.6%,1.4,+2.9
Division Games,6-3-0,66.7%,1.0,+0.8
After A Loss,13-7-0,65.0%,1.9,+1.6
League Games,16-10-0,61.5%,0.9,+0.9
As Away Team,14-10-0,58.3%,0.9,+1.5
All Games,25-25-0,50.0%,0.8,+0.5
1 Day Off,3-3-0,50.0%,1.8,+1.3
With Rest Advantage,1-1-0,50.0%,3.0,+1.5
Regular Season Games,25-25-0,50.0%,0.8,+0.5
With Equal Rest,23-24-0,48.9%,0.7,+0.4
No Rest,21-22-0,48.8%,0.7,+0.4
Non-Division Games,19-22-0,46.3%,0.8,+0.5
As Home Team,11-15-0,42.3%,0.8,-0.3
After A Win,11-18-0,37.9%,0.1,-0.3
Non-League Games,9-15-0,37.5%,0.8,+0.2
As Home Favorite,8-15-0,34.8%,0.8,-0.7
As Favorite,10-20-0,33.3%,0.6,-0.9
As Away Favorite,2-5-0,28.6%,-0.3,-1.8
