# Data scraped on: 2025-05-22 19:47:11
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+3.5
With Rest Disadvantage,1-0-0,100.0%,5.0,+6.5
As Home Favorite,16-7-0,69.6%,0.8,-0.7
As Home Team,17-9-0,65.4%,0.8,-0.3
After A Loss,13-7-0,65.0%,1.9,+1.6
As Favorite,19-11-0,63.3%,0.6,-0.9
Non-League Games,15-9-0,62.5%,0.8,+0.2
Non-Division Games,25-16-0,61.0%,0.8,+0.5
No Rest,25-18-0,58.1%,0.7,+0.4
All Games,29-21-0,58.0%,0.8,+0.5
Regular Season Games,29-21-0,58.0%,0.8,+0.5
With Equal Rest,27-20-0,57.4%,0.7,+0.4
League Games,14-12-0,53.8%,0.9,+0.9
As Away Underdog,9-8-0,52.9%,1.4,+2.9
After A Win,15-14-0,51.7%,0.1,-0.3
As Away Team,12-12-0,50.0%,0.9,+1.5
As Underdog,10-10-0,50.0%,1.3,+2.8
1 Day Off,3-3-0,50.0%,1.8,+1.3
With Rest Advantage,1-1-0,50.0%,3.0,+1.5
Division Games,4-5-0,44.4%,1.0,+0.8
As Away Favorite,3-4-0,42.9%,-0.3,-1.8
As Home Underdog,1-2-0,33.3%,0.7,+2.2
