# Data scraped on: 2025-05-22 19:47:47
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Sacramento,27,7.0,4-2,Under,-1.0
03/28,Home,Sacramento,27,7.0,0-7,Push,0.0
03/29,Home,Sacramento,27,7.0,2-4,Under,-1.0
03/30,Home,Sacramento,27,7.5,2-1,Under,-4.5
03/31,Home,Detroit,7,7.0,6-9,Over,+8.0
04/01,Home,Detroit,7,6.5,1-4,Under,-1.5
04/02,Home,Detroit,7,6.5,3-2,Under,-1.5
04/04,Away,SF Giants,15,8.0,9-10,Over,+11.0
04/05,Away,SF Giants,15,7.5,1-4,Under,-2.5
04/06,Away,SF Giants,15,7.5,4-5,Over,+1.5
04/07,Home,Houston,11,7.0,4-3,Push,0.0
04/08,Home,Houston,11,7.0,1-2,Under,-4.0
04/09,Home,Houston,11,7.5,7-6,Over,+5.5
04/11,Home,Texas,14,6.5,5-3,Over,+1.5
04/12,Home,Texas,14,7.0,9-2,Over,+4.0
04/13,Home,Texas,14,6.5,3-1,Under,-2.5
04/15,Away,Cincinnati,16,8.5,4-8,Over,+3.5
04/16,Away,Cincinnati,16,8.5,5-3,Under,-0.5
04/17,Away,Cincinnati,16,9.0,11-7,Over,+9.0
04/18,Away,Toronto,21,8.0,1-3,Under,-4.0
04/19,Away,Toronto,21,7.5,8-4,Over,+4.5
04/20,Away,Toronto,21,8.5,8-3,Over,+2.5
04/22,Away,Boston,9,9.5,3-8,Over,+1.5
04/23,Away,Boston,9,9.5,8-5,Over,+3.5
04/24,Away,Boston,9,8.0,4-3,Under,-1.0
04/25,Home,Miami,28,7.5,4-8,Over,+4.5
04/26,Home,Miami,28,7.5,14-0,Over,+6.5
04/27,Home,Miami,28,7.5,7-6,Over,+5.5
04/29,Home,LA Angels,26,7.5,5-3,Over,+0.5
04/30,Home,LA Angels,26,8.0,9-3,Over,+4.0
05/02,Away,Texas,14,8.5,13-1,Over,+5.5
05/03,Away,Texas,14,9.0,2-1,Under,-6.0
05/04,Away,Texas,14,8.5,1-8,Over,+0.5
05/05,Away,Sacramento,27,9.0,6-7,Over,+4.0
05/06,Away,Sacramento,27,10.5,5-3,Under,-2.5
05/07,Away,Sacramento,27,9.5,6-5,Over,+1.5
05/09,Home,Toronto,21,7.0,3-6,Over,+2.0
05/10,Home,Toronto,21,8.0,3-6,Over,+1.0
05/11,Home,Toronto,21,8.0,1-9,Over,+2.0
05/12,Home,NY Yankees,2,8.0,5-11,Over,+8.0
05/13,Home,NY Yankees,2,7.5,2-1,Under,-4.5
05/14,Home,NY Yankees,2,8.0,2-3,Under,-3.0
05/16,Away,San Diego,10,8.5,5-1,Under,-2.5
05/17,Away,San Diego,10,8.5,4-1,Under,-3.5
05/18,Away,San Diego,10,7.5,6-1,Under,-0.5
05/19,Away,Chi Sox,29,8.0,5-1,Under,-2.0
05/20,Away,Chi Sox,29,8.5,0-1,Under,-7.5
05/21,Away,Chi Sox,29,8.5,6-5,Over,+2.5
