# Data scraped on: 2025-05-22 19:48:03
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+0.5
As Home Underdog,5-1-0,83.3%,-0.3,+1.2
As Underdog,14-5-0,73.7%,0.1,+1.6
As Away Underdog,9-4-0,69.2%,0.2,+1.7
Non-League Games,8-4-0,66.7%,1.7,+1.9
1 Day Off,5-3-0,62.5%,0.9,+0.9
As Away Team,14-10-0,58.3%,1.1,+1.3
With Equal Rest,24-18-0,57.1%,0.8,+0.5
Non-Division Games,16-14-0,53.3%,0.2,+0.2
All Games,25-23-0,52.1%,0.6,+0.3
Regular Season Games,25-23-0,52.1%,0.6,+0.3
After A Win,14-13-0,51.9%,0.6,+0.2
After A Loss,10-10-0,50.0%,0.4,+0.3
Division Games,9-9-0,50.0%,1.2,+0.4
No Rest,19-20-0,48.7%,0.5,+0.1
League Games,17-19-0,47.2%,0.2,-0.3
As Home Team,11-13-0,45.8%,0.0,-0.8
As Away Favorite,5-6-0,45.5%,2.2,+0.7
As Favorite,11-18-0,37.9%,0.9,-0.6
As Home Favorite,6-12-0,33.3%,0.1,-1.4
With Rest Advantage,1-2-0,33.3%,1.3,+0.8
With Rest Disadvantage,0-3-0,0.0%,-3.0,-3.5
