# Data scraped on: 2025-05-22 19:47:42
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+0.5
As Away Favorite,8-3-0,72.7%,2.2,+0.7
Division Games,13-5-0,72.2%,1.2,+0.4
As Home Underdog,4-2-0,66.7%,-0.3,+1.2
With Equal Rest,27-15-0,64.3%,0.8,+0.5
As Away Team,15-9-0,62.5%,1.1,+1.3
After A Loss,12-8-0,60.0%,0.4,+0.3
No Rest,23-16-0,59.0%,0.5,+0.1
As Favorite,17-12-0,58.6%,0.9,-0.6
All Games,28-20-0,58.3%,0.6,+0.3
League Games,21-15-0,58.3%,0.2,-0.3
Non-League Games,7-5-0,58.3%,1.7,+1.9
Regular Season Games,28-20-0,58.3%,0.6,+0.3
As Underdog,11-8-0,57.9%,0.1,+1.6
After A Win,15-12-0,55.6%,0.6,+0.2
As Home Team,13-11-0,54.2%,0.0,-0.8
As Away Underdog,7-6-0,53.8%,0.2,+1.7
As Home Favorite,9-9-0,50.0%,0.1,-1.4
1 Day Off,4-4-0,50.0%,0.9,+0.9
Non-Division Games,15-15-0,50.0%,0.2,+0.2
With Rest Advantage,1-2-0,33.3%,1.3,+0.8
With Rest Disadvantage,0-3-0,0.0%,-3.0,-3.5
